         #betas            mean        mean_std        skewness    skewness_std        kurtosis    kurtosis_std
    4.986000000     1.162675554     0.008651774    -1.953932992     0.256874222    11.973023988     1.187255970
    4.986080808     1.161107266     0.008539874    -2.014749692     0.230584742    12.084207810     1.225793727
    4.986161616     1.159451056     0.008393374    -2.069186781     0.195146584    11.911906427     0.765228396
    4.986242424     1.157721877     0.008226657    -2.114936698     0.157732376    11.971882909     1.007052195
    4.986323232     1.155897284     0.008081350    -2.146394703     0.133465656    11.644604937     0.929252849
    4.986404040     1.153920722     0.007905692    -2.179911928     0.099910757    11.714476410     1.142247016
    4.986484848     1.151894224     0.007732340    -2.192873036     0.073374787    11.376477084     1.056070513
    4.986565657     1.149702203     0.007570864    -2.191823928     0.063804138    10.886990708     1.071504893
    4.986646465     1.147440922     0.007328372    -2.189044659     0.063074345    10.540551855     1.062459336
    4.986727273     1.144986618     0.007154304    -2.167524079     0.072575664     9.995484539     1.085493095
    4.986808081     1.142424250     0.006945610    -2.139397914     0.079147637     9.577522218     1.051014363
    4.986888889     1.139682370     0.006665584    -2.100786418     0.087751650     9.054405678     1.036056483
    4.986969697     1.136793375     0.006387932    -2.050924884     0.093503750     8.484619467     0.927027451
    4.987050505     1.133740604     0.006106376    -1.996549912     0.094660215     7.989865228     0.798510794
    4.987131313     1.130455303     0.005879598    -1.933022018     0.098690277     7.463813348     0.832221539
    4.987212121     1.126962292     0.005536705    -1.861296726     0.093538463     6.898337825     0.673714977
    4.987292929     1.123256630     0.005279476    -1.786755463     0.090771321     6.381637927     0.576753064
    4.987373737     1.119273859     0.004932450    -1.706950273     0.084671787     5.904989895     0.526868672
    4.987454545     1.115000516     0.004682921    -1.621795136     0.078903911     5.414279552     0.447844308
    4.987535354     1.110448980     0.004319184    -1.533460320     0.068917671     4.966210404     0.364934183
    4.987616162     1.105630916     0.004092435    -1.443176406     0.062103946     4.536104570     0.288541992
    4.987696970     1.100517964     0.003877532    -1.350333045     0.056533506     4.147158936     0.246782773
    4.987777778     1.095078319     0.003651074    -1.256149718     0.049584726     3.781055359     0.196933058
    4.987858586     1.089280391     0.003535479    -1.159353282     0.045889408     3.442327603     0.170758999
    4.987939394     1.083089256     0.003431555    -1.061437943     0.041113138     3.127691637     0.125374642
    4.988020202     1.076633048     0.003453734    -0.963956024     0.039354593     2.862955117     0.119849140
    4.988101010     1.069845140     0.003486001    -0.865478085     0.038431815     2.614113925     0.104128201
    4.988181818     1.062730515     0.003450814    -0.766181414     0.035858649     2.394213598     0.080800937
    4.988262626     1.055469501     0.003425249    -0.669160095     0.034578078     2.211658126     0.070196882
    4.988343434     1.047900766     0.003503325    -0.571328781     0.034870507     2.045153572     0.065058628
    4.988424242     1.040192538     0.003503557    -0.475499831     0.034119514     1.921576400     0.052621856
    4.988505051     1.032203448     0.003498232    -0.378416300     0.033455435     1.811931348     0.044982052
    4.988585859     1.024151748     0.003456253    -0.283124479     0.032500253     1.733860579     0.035697018
    4.988666667     1.015970087     0.003535167    -0.187714046     0.033510567     1.675064192     0.027001708
    4.988747475     1.007780254     0.003507877    -0.093578986     0.033193135     1.646064787     0.021813101
    4.988828283     0.999479252     0.003640683     0.001111093     0.034330917     1.634135611     0.015092652
    4.988909091     0.991282409     0.003680795     0.094658619     0.034937005     1.650386658     0.015085559
    4.988989899     0.983064234     0.003843659     0.189421897     0.036797970     1.688111561     0.015936588
    4.989070707     0.974902683     0.003959825     0.283243180     0.037760936     1.748333243     0.027065387
    4.989151515     0.966863996     0.004133837     0.377546974     0.040727358     1.833435602     0.036042593
    4.989232323     0.959067804     0.004271026     0.470226734     0.042537581     1.946098834     0.049721060
    4.989313131     0.951325092     0.004441058     0.564872679     0.045369831     2.080276191     0.067076240
    4.989393939     0.943838200     0.004677806     0.658490677     0.049499420     2.239330146     0.083291733
    4.989474747     0.936519074     0.004815724     0.752827058     0.052382473     2.428366188     0.105289060
    4.989555556     0.929425836     0.004988559     0.847420978     0.056053638     2.647500070     0.128891600
    4.989636364     0.922661319     0.005186129     0.940867524     0.059726806     2.892135523     0.159522257
    4.989717172     0.916200432     0.005337503     1.033155265     0.062627965     3.154645705     0.186156478
    4.989797980     0.909882942     0.005470844     1.125698366     0.065522910     3.467325812     0.224039611
    4.989878788     0.903947246     0.005581689     1.216986850     0.069875761     3.793117516     0.263910787
    4.989959596     0.898266828     0.005675630     1.305761093     0.073619126     4.151084865     0.308261726
    4.990040404     0.892740279     0.005837714     1.394394170     0.077919885     4.549671639     0.354519212
    4.990121212     0.887540883     0.005975654     1.479708973     0.083297643     4.972497595     0.403012083
    4.990202020     0.882478470     0.006130264     1.562397097     0.085536247     5.435098740     0.470252617
    4.990282828     0.877672210     0.006224448     1.641651474     0.087995222     5.912497695     0.519974968
    4.990363636     0.873138043     0.006289422     1.714209912     0.087846353     6.414332901     0.584970109
    4.990444444     0.868935350     0.006410425     1.777718591     0.087770439     6.927760393     0.658513217
    4.990525253     0.864961809     0.006417865     1.833383181     0.085461040     7.443265450     0.675256809
    4.990606061     0.861277112     0.006512779     1.881392596     0.083394530     7.906261735     0.713061329
    4.990686869     0.857825521     0.006646500     1.915369264     0.078424120     8.362693761     0.760806653
    4.990767677     0.854551655     0.006722524     1.935435241     0.076067656     8.817725081     0.762262544
    4.990848485     0.851483464     0.006814678     1.948156638     0.073570154     9.197805259     0.731865918
    4.990929293     0.848604211     0.006921093     1.942411044     0.078094398     9.478027660     0.720984788
    4.991010101     0.845938569     0.007044234     1.924425011     0.084627000     9.786507457     0.735036495
    4.991090909     0.843368483     0.007181811     1.898069235     0.103430333     9.961507816     0.728442097
    4.991171717     0.840958959     0.007307639     1.860561852     0.118587752    10.026124173     0.705549112
    4.991252525     0.838652009     0.007470112     1.800832393     0.146937096    10.043081785     0.621942836
    4.991333333     0.836486137     0.007596068     1.741611040     0.170988179     9.947109022     0.686706613
    4.991414141     0.834385112     0.007698446     1.676586772     0.188738827     9.769256980     0.793644581
    4.991494949     0.832394692     0.007777562     1.600453696     0.216938399     9.627374448     0.908295578
    4.991575758     0.830496463     0.007842470     1.518488131     0.229522321     9.338643702     0.939553884
    4.991656566     0.828668416     0.007918832     1.435612274     0.250328698     9.044221041     1.042266338
    4.991737374     0.826952970     0.008015510     1.350083710     0.264869530     8.712439287     1.099683827
    4.991818182     0.825337678     0.008114572     1.265632282     0.274466070     8.410789263     1.262447242
    4.991898990     0.823848003     0.008220954     1.192583487     0.279976911     8.151057726     1.277059679
    4.991979798     0.822414091     0.008344564     1.115433685     0.279384127     7.816532533     1.330213537
    4.992060606     0.821026546     0.008489790     1.038612324     0.285728978     7.457185722     1.169948867
    4.992141414     0.819704285     0.008634713     0.971494277     0.280655053     6.958408252     1.476779794
    4.992222222     0.818418115     0.008784153     0.911799254     0.276229666     6.496003324     1.616868985
    4.992303030     0.817205539     0.008924492     0.850778568     0.272564116     6.362575916     1.364922731
    4.992383838     0.816013214     0.009087860     0.791510956     0.263985527     6.038628848     1.337450945
    4.992464646     0.814878553     0.009213808     0.731742879     0.261798635     6.249658224     1.356807761
    4.992545455     0.813737485     0.009363515     0.692881646     0.249924331     5.407604677     1.545098656
    4.992626263     0.812641886     0.009499362     0.645331786     0.240856607     5.290104012     1.329737799
    4.992707071     0.811573461     0.009603252     0.601372521     0.223929849     4.944057938     1.295018601
    4.992787879     0.810511723     0.009748098     0.561218352     0.219553886     5.012246368     1.223782703
    4.992868687     0.809452412     0.009883013     0.531020219     0.211434506     4.647462864     1.235728170
    4.992949495     0.808412471     0.010017619     0.494949310     0.201015024     4.502072489     1.095888821
    4.993030303     0.807391587     0.010145604     0.462516797     0.199087353     4.585723007     1.149366050
    4.993111111     0.806378171     0.010291026     0.436645179     0.184626755     4.284552646     1.119367324
    4.993191919     0.805379629     0.010449212     0.412694263     0.185402420     4.090934961     0.855016790
    4.993272727     0.804405814     0.010629982     0.388891828     0.178697258     4.317515348     0.929444010
    4.993353535     0.803456411     0.010808532     0.373298410     0.171761122     3.749143295     1.272572399
    4.993434343     0.802502474     0.010986232     0.352177924     0.161669568     3.730656322     0.896398955
    4.993515152     0.801569265     0.011190604     0.329499377     0.150646198     3.858415804     1.128647865
    4.993595960     0.800649896     0.011397498     0.321300335     0.153956645     3.470480605     1.125968181
    4.993676768     0.799756005     0.011622515     0.300906914     0.147120865     3.573549916     0.697096207
    4.993757576     0.798862433     0.011844844     0.286744389     0.139168274     3.756507154     1.132891083
    4.993838384     0.797973967     0.012059891     0.268306470     0.138828932     3.693851921     1.134776915
    4.993919192     0.797104645     0.012289634     0.263501118     0.134854327     3.350476747     1.312251791
    4.994000000     0.796200314     0.012505147     0.252740733     0.133319601     3.308533016     0.681043425
