         #betas            mean        mean_std        skewness    skewness_std        kurtosis    kurtosis_std
    4.975000000     1.135404241     0.007137195    -1.384090338     0.074661523     4.310659769     0.324548564
    4.975075630     1.132394969     0.006650970    -1.350723079     0.069489277     4.171443732     0.290760592
    4.975151261     1.129387510     0.006241682    -1.318117134     0.064536100     4.037435842     0.261640237
    4.975226891     1.126336509     0.005758312    -1.285551332     0.058507181     3.910919010     0.228739779
    4.975302521     1.123262948     0.005360414    -1.252601533     0.055224315     3.784774231     0.208888727
    4.975378151     1.120137155     0.004874046    -1.219677907     0.049450098     3.666396760     0.179998986
    4.975453782     1.117007339     0.004427282    -1.187322022     0.044356653     3.550083462     0.153802535
    4.975529412     1.113838571     0.003916266    -1.155201712     0.039022551     3.439860761     0.132009458
    4.975605042     1.110546988     0.003466258    -1.122296855     0.034667776     3.332038200     0.111088795
    4.975680672     1.107315058     0.002964744    -1.090390025     0.029965025     3.230469909     0.094196905
    4.975756303     1.103927869     0.002495784    -1.056615196     0.025062030     3.126938238     0.075004080
    4.975831933     1.100566798     0.002069316    -1.024388712     0.021564888     3.033775930     0.061972445
    4.975907563     1.097138894     0.001668315    -0.991275555     0.018286791     2.938191451     0.050987652
    4.975983193     1.093757397     0.001399805    -0.959595106     0.016441532     2.853021494     0.041254137
    4.976058824     1.090327358     0.001250844    -0.928259838     0.013758082     2.771232025     0.033654139
    4.976134454     1.086864412     0.001391189    -0.896678501     0.015204028     2.693151875     0.035726403
    4.976210084     1.083271837     0.001731156    -0.863914696     0.016333729     2.611787717     0.035594084
    4.976285714     1.079720205     0.002063413    -0.831821408     0.018481538     2.538860512     0.040541933
    4.976361345     1.076135719     0.002499588    -0.800608324     0.020808060     2.470199848     0.042397457
    4.976436975     1.072535294     0.003083329    -0.769104850     0.024915168     2.401867103     0.050449847
    4.976512605     1.068931651     0.003592108    -0.738168406     0.028398613     2.339971729     0.055046568
    4.976588235     1.065385640     0.004085970    -0.708358957     0.031686975     2.282076475     0.057889844
    4.976663866     1.061759174     0.004628103    -0.677496347     0.034884477     2.226174747     0.060154141
    4.976739496     1.058133203     0.005184672    -0.647153026     0.038591544     2.173316740     0.064626769
    4.976815126     1.054536313     0.005576894    -0.617148361     0.041136760     2.122379796     0.064896574
    4.976890756     1.050972980     0.005936397    -0.587693068     0.043934288     2.075231242     0.066699532
    4.976966387     1.047590852     0.006188987    -0.560524420     0.045616536     2.034896630     0.066100800
    4.977042017     1.044267035     0.006257104    -0.533575441     0.045852182     1.996259269     0.063234136
    4.977117647     1.041153210     0.006094605    -0.508045890     0.043980343     1.960597333     0.057916655
    4.977193277     1.038138926     0.005860566    -0.483712069     0.041851519     1.928677573     0.053071241
    4.977268908     1.035245132     0.005517307    -0.459781801     0.039825771     1.899494847     0.048237490
    4.977344538     1.032445699     0.005196654    -0.437523329     0.037439411     1.872136417     0.042876934
    4.977420168     1.029722148     0.004765751    -0.415231201     0.034573198     1.847650281     0.037046448
    4.977495798     1.027212119     0.004346846    -0.395327630     0.031396666     1.826891423     0.032078635
    4.977571429     1.024700296     0.003846815    -0.375079082     0.028246276     1.806727111     0.027897490
    4.977647059     1.022044617     0.003298442    -0.353979930     0.024368731     1.786103781     0.022781916
    4.977722689     1.019641650     0.002875724    -0.334748263     0.021474778     1.768726037     0.019317816
    4.977798319     1.017216045     0.002287858    -0.315369610     0.017437332     1.752965969     0.013754717
    4.977873950     1.014848709     0.001891853    -0.296647657     0.014993079     1.737314907     0.011452758
    4.977949580     1.012553471     0.001476833    -0.278840460     0.012517948     1.724340753     0.008507090
    4.978025210     1.010367972     0.001216675    -0.261629899     0.010723784     1.712542843     0.007896281
    4.978100840     1.008122391     0.001357162    -0.243605753     0.011094601     1.700948454     0.007365003
    4.978176471     1.006098056     0.001592897    -0.227780093     0.012526064     1.692053481     0.007169077
    4.978252101     1.003937635     0.002089594    -0.210432923     0.015626866     1.681831785     0.008130372
    4.978327731     1.001974294     0.002589503    -0.194802082     0.018893189     1.674286530     0.009279835
    4.978403361     0.999938670     0.003010651    -0.178761378     0.021380498     1.667003295     0.009765089
    4.978478992     0.998106977     0.003467075    -0.164296093     0.024976527     1.660457336     0.010647681
