N_sigma,mass,beta,mmd_mean,mmd_std,mmd_run1,mmd_run2,mmd_run3,mmd_run4,mmd_run5,mmd_run6,mmd_run7,mmd_run8,mmd_run9,mmd_run10,mmd_run11,mmd_run12,mmd_run13,mmd_run14,mmd_run15,mmd_run16,mmd_run17,mmd_run18,mmd_run19,mmd_run20
16.0,0.08,4.98,0.0007283121332875453,0.00024781469877837567,0.0005386543343774974,0.00022332704975269735,0.0007724997703917325,0.0009468190255574882,0.00038736918941140175,0.0005776521866209805,0.0005862152902409434,0.001105175819247961,0.0011963032884523273,0.0011005118722096086,0.0007350147934630513,0.0007545266416855156,0.0003509633243083954,0.0006636043544858694,0.0006658968632109463,0.0009434479288756847,0.0008790906285867095,0.0006884509930387139,0.0006660843500867486,0.000784634961746633
16.0,0.08,4.979,0.002198152564233169,0.0006701308236576682,0.003221749095246196,0.0014979608822613955,0.002047439804300666,0.002600741572678089,0.0010269894264638424,0.0026854255702346563,0.002916595432907343,0.0027122688479721546,0.0028136256150901318,0.0015486945630982518,0.002381526865065098,0.002754820045083761,0.0013727967161685228,0.002221866510808468,0.0015563737833872437,0.0018580978503450751,0.002102677710354328,0.002182722557336092,0.003349342616274953,0.0011113358195871115
16.0,0.08,4.978,0.0005282469821395353,0.00023247178995840947,0.00018990220269188285,0.0006940915482118726,0.0002585404145065695,0.0007369694067165256,0.0007104876567609608,0.00012256533955223858,0.0004784410702995956,0.0008626573835499585,0.0005329417181201279,0.0008320600027218461,0.00047742854803800583,0.0005768742994405329,0.00047525676200166345,0.00022657056979369372,0.0005559531855396926,0.0008499420946463943,0.000859878200571984,0.00023444737598765641,0.0003951577818952501,0.0004947740817442536
8.0,0.08,4.982,0.00029586247183033265,9.64687002298502e-05,0.00038067804416641593,0.0002000012609641999,0.0003776726662181318,0.00020392033911775798,0.00027674989541992545,0.0002575218095444143,0.00020843841775786132,0.0004737669078167528,0.00023724173661321402,0.00018737235222943127,0.00022293723304755986,0.00035147799644619226,0.00018638801702763885,0.000497648841701448,0.00036043685395270586,0.00016544284881092608,0.0003501678293105215,0.00031281786505132914,0.0002628211514092982,0.00040374737000092864
8.0,0.08,4.98,0.00016754239768488333,5.4505721412199964e-05,0.0002931194903794676,0.00018622423522174358,0.00014932008343748748,0.00020184538152534515,0.00010268813639413565,0.00022194022312760353,6.008043419569731e-05,0.00012770682224072516,0.00014688432565890253,0.0001496587647125125,0.00013783076428808272,0.00015095793060027063,9.240228973794729e-05,0.00013982733071316034,0.00019415767746977508,0.00018150327377952635,0.0001463621447328478,0.0002580278960522264,0.00022518556215800345,0.00018512518727220595
8.0,0.08,4.978,0.00023248341894941405,6.205557918674602e-05,0.0001685472234385088,0.00030590573442168534,0.00023965568107087165,0.00025586190167814493,0.00035321564064361155,0.0001570215681567788,0.0002291344862896949,0.00019207564764656126,0.00023483291442971677,0.00025976536562666297,0.0002454488421790302,0.00021038870909251273,0.00021304255642462522,0.00015738786896690726,0.00021184181969147176,0.0002445446152705699,0.0001451098214602098,0.00018023137818090618,0.0003947404329665005,0.00025091617135331035
8.0,0.08,4.976,0.0002460436553519685,0.00010762734070762034,0.00045493911602534354,0.00028100426425226033,0.00023146408784668893,0.00025362352607771754,0.00021407641179393977,0.00014622371236328036,0.00033092446392402053,0.00021987156651448458,0.0003659178619273007,0.00019571848679333925,0.0001337072317255661,0.00014145628665573895,0.00019169367442373186,0.00018672877922654152,0.0004848724347539246,0.00024638825561851263,9.34550043893978e-05,0.0004134385962970555,0.00016023089119698852,0.00017513845523353666
12.0,0.08,4.98,0.039819500781595706,0.027994063029486406,0.017761021852493286,0.07899018377065659,0.06971252709627151,0.023545440286397934,0.002466550562530756,0.063459113240242,0.10475579649209976,0.06084394454956055,0.0027547432109713554,0.05053532123565674,0.005158071871846914,0.0602363757789135,0.007873260416090488,0.046559952199459076,0.015189655125141144,0.056189585477113724,0.02208595722913742,0.018555786460638046,0.047710783779621124,0.04200594499707222
12.0,0.08,4.979,0.02085316125594545,0.01906185972568185,0.01028865110129118,0.027393648400902748,0.0418681725859642,0.0016036120941862464,0.0009383882279507816,0.02474888600409031,0.0413391999900341,0.018836097791790962,0.0005449288291856647,0.012789949774742126,0.0103722820058465,0.030188972130417824,0.004305392503738403,0.06468398123979568,0.06589615345001221,0.014021554961800575,0.011223113164305687,0.0008843532996252179,0.015700817108154297,0.01943507045507431
12.0,0.08,4.978,0.009536449836741668,0.01965208470044634,0.004592600278556347,0.0007108704303391278,0.004925266373902559,0.010944564826786518,0.00425006914883852,0.011105085723102093,0.0016751248622313142,0.0006005247123539448,0.001751862233504653,0.0021253826562315226,0.007316547445952892,0.009045588783919811,0.0004533214960247278,0.025157246738672256,0.09163378179073334,0.0015761202666908503,0.0002583581081125885,0.00531361298635602,0.0025038905441761017,0.00478917732834816
16.0,0.09,4.999,0.00018689397074922454,0.00012423094452841527,0.00013565503468271345,0.00029140361584722996,9.78665630100295e-05,0.00010356144048273563,0.00010546312114456668,0.00047174718929454684,0.00042620612657628953,8.408219582634047e-05,0.00011222642933716998,0.00012203820369904861,0.00043562910286709666,0.00012532045366242528,9.277140634367242e-05,0.00031387232593260705,0.0001571053289808333,0.00010123544052476063,0.0001647734025027603,0.00013208349992055446,0.0001896817411761731,7.515679317293689e-05
16.0,0.09,4.998,0.0001587914333867957,0.00010461574444563384,9.878950368147343e-05,6.906066846568137e-05,0.00023676769342273474,0.00010582631512079388,0.0002377518976572901,0.0001922161754919216,0.0001151289907284081,6.943081098143011e-05,0.00023244200565386564,5.948010220890865e-05,7.349945371970534e-05,6.237546040210873e-05,0.0001051579019986093,0.00018909538630396128,5.689109821105376e-05,0.0003027845814358443,0.00015455414541065693,0.00041888756095431745,5.016370050725527e-05,0.0003455252153798938
8.0,0.09,4.996,0.00022142191883176566,8.356724438671985e-05,0.0001968889991985634,0.00023480581876356155,0.00016685023729223758,0.00024017566465772688,0.0002070903719868511,0.00030276161851361394,0.0003034334513358772,0.00022929813712835312,0.00022329171770252287,0.00014421566447708756,0.000129934138385579,0.0001522189995739609,0.00021075813856441528,0.0002132035733666271,0.0005163902533240616,0.00021687180560547858,0.00013374420814216137,0.00026810506824404,0.00018138457380700856,0.00015701593656558543
8.0,0.09,5.0,0.00023571329875267112,7.475052110641056e-05,0.00018737053324002773,0.0001872047723736614,0.0003331792540848255,0.00021614402066916227,0.00024204104556702077,0.0001698113774182275,0.0002231810212833807,0.0004152168403379619,0.00015348043234553188,0.00021795071370434016,0.00020757687161676586,0.00012855870591010898,0.0003570973058231175,0.00020262245379853994,0.00030496646650135517,0.0001614473876543343,0.0002615803387016058,0.00022722312132827938,0.00033979627187363803,0.00017781704082153738
8.0,0.09,5.002,0.00013986203448439482,5.2424575076413056e-05,0.0001072525410563685,0.00014119272236712277,0.00015383202116936445,0.00016913237050175667,9.326799045084044e-05,9.6088697318919e-05,0.0002170101215597242,0.00011248405644437298,8.067224553087726e-05,0.00027821992989629507,0.00014763671788387,0.0001774086558725685,0.00016571747255511582,0.00011080614058300853,0.00022870823158882558,8.927256567403674e-05,0.00013152269821148366,0.00011302343045827001,0.0001094141771318391,7.457790343323722e-05
8.0,0.09,4.998,0.00017123487741628197,5.404642690750545e-05,0.0001913743617478758,0.0001634750806260854,0.00021565475617535412,0.00016600075468886644,0.00012038830755045637,0.0002367194538237527,0.00022020861797500402,0.00018025917233899236,8.492481720168144e-05,0.00023623125161975622,0.0002025664725806564,0.00028617290081456304,0.00013534740719478577,8.472526678815484e-05,0.00020940783724654466,0.00013919518096372485,9.728274017106742e-05,0.0001225656596943736,0.00013791864330414683,0.00019427886581979692
12.0,0.09,4.998,0.011535490024834871,0.01294259381310011,0.006040145643055439,0.0062388465739786625,0.02645408734679222,0.005059399176388979,0.0029202252626419067,0.026337439194321632,0.00250251404941082,0.006232522428035736,0.017003139480948448,0.005196752492338419,0.0034275255165994167,0.039695534855127335,0.008481582626700401,0.012651395983994007,0.0476573146879673,0.0049643381498754025,0.0006355206714943051,0.0037649243604391813,0.00158748182002455,0.003859110176563263
12.0,0.09,4.996,0.00984668973251246,0.008688598352049083,0.0006681516533717513,0.010986700654029846,0.002193705178797245,0.010564026422798634,0.015759479254484177,0.007637769915163517,0.028221067041158676,0.001541250036098063,0.024090087041258812,0.014501936733722687,0.030161362141370773,0.0012301851529628038,0.00706048309803009,0.011362897232174873,0.0035468763671815395,0.0009410957572981715,0.00200926442630589,0.007271175738424063,0.01046827994287014,0.006718000862747431
12.0,0.09,5.0,0.020747791090980173,0.01698350530677727,0.006191936321556568,0.039079345762729645,0.04656582325696945,0.012266285717487335,0.009814992547035217,0.03696636110544205,0.0630222037434578,0.015193156898021698,0.006364309228956699,0.02054993435740471,0.0011665422935038805,0.04673109948635101,0.0009844426531344652,0.01490379124879837,0.002151793334633112,0.020562944933772087,0.017566444352269173,0.007821880280971527,0.02867925725877285,0.0183732770383358
16.0,0.085,4.988,0.0008606843068264425,0.0003465697046564066,0.0012661500368267298,0.0006296136998571455,0.0008759275078773499,0.00043639197247102857,0.0003913073451258242,0.0014630038058385253,0.0006597202736884356,0.0006341426633298397,0.0007422154885716736,0.0007030683336779475,0.0008416654309257865,0.0006192767759785056,0.0008096309611573815,0.0014963274588808417,0.0014469046145677567,0.0004895624006167054,0.0006646994734182954,0.0011682366020977497,0.0012532513355836272,0.0006225899560377002
16.0,0.085,4.99,0.0004228847821650561,0.00010889801845793174,0.0004556544008664787,0.00037808349588885903,0.0005874481284990907,0.00037880337913520634,0.00025933299912139773,0.000663838698528707,0.0005589311476796865,0.0003615719615481794,0.00033359567169100046,0.00033283367520198226,0.00043879635632038116,0.00048634488484822214,0.00022505603556055576,0.0003948748635593802,0.00047087125130929053,0.00037963048089295626,0.0004054608871228993,0.0005733153666369617,0.00032347702654078603,0.0004497749323491007
16.0,0.085,4.989,0.0005823364601383219,0.0003565287964961171,0.00035642407601699233,0.00021954721887595952,0.0005670626414939761,0.0003814858791884035,0.0009462654707022011,7.971243030624464e-05,0.0006394402589648962,0.0013129108119755983,0.0007829847745597363,0.0009531390969641507,0.00017044207197614014,0.00032828625990077853,0.001028664642944932,0.0003181372885592282,0.0003860732540488243,0.0012317519867792726,0.0004249030607752502,0.0006527632940560579,0.00013203485286794603,0.0007346998318098485
8.0,0.085,4.992,0.0001446319864044199,4.641050413897989e-05,0.00012861496361438185,0.00013151801249478012,8.926928421715274e-05,0.00010545238910708576,0.00010171519534196705,0.00011834451288450509,0.00012469208741094917,0.0001566787832416594,0.00013236621452961117,0.0001713199308142066,0.00019831079407595098,0.00020362730720080435,0.00029393687145784497,0.00010584072151686996,0.00017143158765975386,0.00015064177569001913,0.00016431273252237588,0.00012367279850877821,0.00010626161383697763,0.00011463215196272358
8.0,0.085,4.988,0.00017610203321964945,5.352745213034644e-05,0.00014952404308132827,9.166578092845157e-05,0.00012511237582657486,0.00023527353187091649,0.00025397457648068666,0.00014863256365060806,0.00014675737475045025,0.00023189459170680493,0.00012174768198747188,0.00024252939329016954,0.00021200212358962744,0.00016361099551431835,0.00016095761384349316,0.0001959003711817786,0.0003057679277844727,0.00012542391777969897,0.00015782412083353847,0.0001537565840408206,0.0001776531571522355,0.0001220319390995428
8.0,0.085,4.99,0.00021936851044301875,7.088100757962168e-05,0.00019505595264490694,0.0002021796244662255,0.0002514791558496654,0.00023108150344341993,0.00020777461759280413,0.00018103007460013032,0.00024465523893013597,0.00022845316561870277,0.00023897243954706937,0.0003119759203400463,0.00014145685418043286,0.00028430187376216054,9.913362009683624e-05,0.0002829257573466748,0.0003631735744420439,0.00011650901433313265,0.0001066597324097529,0.000324205873766914,0.0001611739571671933,0.00021517225832212716
12.0,0.085,4.988,0.010047653556102886,0.027652189296628535,0.0010936203179880977,0.00039500524871982634,0.0018648970872163773,0.008005778305232525,0.000661959289573133,0.0029918879736214876,0.0004062506777700037,0.00031732686329633,0.001118760439567268,0.005604954436421394,0.0028960600029677153,0.010182657279074192,0.002536362037062645,0.010175238363444805,0.1296418011188507,0.0005082649877294898,0.0027116425335407257,0.01129026897251606,0.004103454761207104,0.004446880426257849
12.0,0.085,4.99,0.016478996867954267,0.01552824031799196,0.0008120091515593231,0.020115625113248825,0.045266758650541306,0.008673692122101784,0.00041275369585491717,0.03555458039045334,0.037778615951538086,0.028208788484334946,0.0012968851951882243,0.016778862103819847,0.007183352019637823,0.05386873334646225,0.001343211275525391,0.013733185827732086,0.022406525909900665,0.0049477918073534966,0.004554347135126591,0.006231611128896475,0.012972201220691204,0.007440406829118729
12.0,0.085,4.989,0.013457587645098102,0.018211934171238748,0.005486152600497007,0.008934441022574902,0.036241158843040466,0.0003129778488073498,0.006715542636811733,0.01430375687777996,0.019858280196785927,0.015929361805319786,0.001823998405598104,0.0007619711104780436,0.002480179537087679,0.04838793724775314,0.0033055790700018406,0.023580892011523247,0.07062000781297684,0.0032067608553916216,0.001059931586496532,0.0002641160390339792,0.0030182707123458385,0.0028604366816580296
