N_sigma,mass,beta,mmd_mean,mmd_std,mmd_run1,mmd_run2,mmd_run3,mmd_run4,mmd_run5,mmd_run6,mmd_run7,mmd_run8,mmd_run9,mmd_run10
16.0,0.075,4.968,0.0006807513193052728,0.00034054395946441217,0.0012585243675857782,0.0007272696238942444,0.0004640399420168251,0.0009724989649839699,9.640417556511238e-05,0.0004736398404929787,0.0004965343396179378,0.0006358742830343544,0.0007657374953851104,0.0009169901604764163
16.0,0.075,4.97,0.004258189769461751,0.0006538246816489846,0.0038253944367170334,0.004159224219620228,0.0040161325596272945,0.004212330095469952,0.00384531170129776,0.0043411944061517715,0.005685507319867611,0.004536911845207214,0.004158916417509317,0.0038009746931493282
16.0,0.075,4.969,0.003318679053336382,0.0009063257894013077,0.0038559020031243563,0.003927216399461031,0.003512667492032051,0.003688546596094966,0.0028426069766283035,0.0028835185803472996,0.002986923325806856,0.0024011789355427027,0.003409187076613307,0.003679043147712946
8.0,0.075,4.972,0.0003265306746470742,0.00018131407268811016,0.0003566550149116665,0.0005316504975780845,0.00012646308459807187,0.000297489867080003,0.0002567819901742041,0.0002041818806901574,0.0003123205970041454,0.0003630557912401855,0.000311309180688113,0.0005053988425061107
8.0,0.075,4.968,0.0002549550190451555,0.00021028593837399968,0.0001814595452742651,0.0003235462645534426,0.00023924636479932815,0.0002673029084689915,0.00015785831783432513,0.00026613211957737803,0.00026781827909871936,0.0002947351604234427,0.0002966499887406826,0.00025480124168097973
8.0,0.075,4.966,0.00021604648500215263,0.00016210527683142574,0.00024382121046073735,0.00015277907368727028,0.00012711086310446262,0.00019370614609215409,0.00019192621402908117,0.0003615579043980688,0.00020156703249085695,0.00041530714952386916,0.00010423187632113695,0.00016845737991388887
8.0,0.075,4.97,0.00037434655241668223,0.0003017997703864239,0.000487370794871822,0.0003783883876167238,0.00036969463690184057,0.00034804295864887536,0.0003453358949627727,0.00021881447173655033,0.000261689507169649,0.0004989844164811075,0.00039641716284677386,0.00043872729293070734
12.0,0.075,4.968,0.0004391692709759809,0.00035243935635662635,0.00022399090812541544,0.00034742054413072765,0.0010221104603260756,0.0003698329674080014,0.0004330649971961975,0.0002269447286380455,0.00037204151158221066,0.0002624110202305019,0.00028813566314056516,0.0008457399089820683
12.0,0.075,4.97,0.000304731800861191,0.00022310162748908624,0.0003151854034513235,0.00013750747893936932,0.0004143090336583555,0.00026522603002376854,0.00048107365728355944,0.00022697944950778037,0.0002671934198588133,0.0003727932635229081,0.00026856959448195994,0.00029848067788407207
12.0,0.075,4.969,0.0012298108078539372,0.0005483460903633386,0.0019894796423614025,0.0008584774914197624,0.0013228574534878135,0.0011486609000712633,0.0010643586283549666,0.0013914977898821235,0.0008058192324824631,0.001057389541529119,0.0014204494655132294,0.0012391179334372282
