# vol beta    mean                  error_mean              variance                error_variance          skewness                error_skewness          kurtosis                error_kurtosis
8 4.9960   1.085922156736217e+00   5.867528925164214e-03   2.070564050101886e-02   7.682933051625525e-04  -6.687590657482758e-01   5.964386945218870e-02   2.393613647651591e+00   1.233565372021442e-01  
8 4.9980   1.029466247562368e+00   7.154787520584431e-03   2.470583602276566e-02   5.731912819164056e-04  -2.120514036359040e-01   6.448165737197226e-02   1.802025994466817e+00   4.299517810730696e-02  
8 5.0000   9.775743318661512e-01   7.304159423407466e-03   2.486465166350715e-02   6.452576632848884e-04   2.158038278061554e-01   6.720351374660978e-02   1.773438803764805e+00   5.203850907472891e-02  
8 5.0020   9.289666343815384e-01   6.391763128744931e-03   2.140548374550555e-02   8.820055605378236e-04   6.157081880588180e-01   6.426105579043211e-02   2.280647479094341e+00   1.262537009964110e-01  
12 4.9960   1.131296719969384e+00   4.263901142383709e-03   6.847186588288201e-03   6.905479696057583e-04  -1.354199689405505e+00   7.703062861005021e-02   4.782844658649310e+00   3.763239022630970e-01  
12 4.9980   1.025004937101926e+00   7.562821030189578e-03   1.473925773084295e-02   5.016158408850345e-04  -1.188705915178119e-01   8.762182316257826e-02   1.816403569123509e+00   4.437352494909561e-02  
12 5.0000   9.342180298840503e-01   6.637669305810193e-03   1.183263877782825e-02   8.526061591408878e-04   7.943862609651404e-01   8.459167506518321e-02   2.779210132280468e+00   2.336074679246212e-01  
16 4.9980   1.055941079410800e+00   8.783784549909277e-03   9.610671280667060e-03   5.757365018345389e-04  -4.887602776964997e-01   1.278383020616167e-01   2.103005318078431e+00   1.855457879680781e-01  
16 4.9990   9.679780134095353e-01   7.510426205886028e-03   9.035939943004112e-03   6.028070019960466e-04   5.129423599058569e-01   1.086770954624714e-01   2.219032261886127e+00   1.837236342891527e-01  
