N_sigma,mass,beta,mmd_mean,mmd_std,mmd_run1,mmd_run2,mmd_run3,mmd_run4,mmd_run5,mmd_run6,mmd_run7,mmd_run8,mmd_run9,mmd_run10,mmd_run11,mmd_run12,mmd_run13,mmd_run14,mmd_run15,mmd_run16,mmd_run17,mmd_run18,mmd_run19,mmd_run20
16.0,0.075,4.968,0.00025094992997765075,0.00015785553432131125,0.0001942430972121656,0.0005827512941323221,0.00019427896768320352,0.00048329151468351483,0.00010567055142018944,0.0002242621994810179,0.0002379307261435315,0.00014472435577772558,0.00016894054715521634,0.0001080470610759221,0.00024836440570652485,0.00012584833893924952,0.00012367483577691019,0.0004045853274874389,0.0006039334693923593,0.0002506693999748677,0.00010712216317187995,0.0004461994394659996,0.00011822798114735633,0.0001462329237256199
16.0,0.075,4.97,0.0029402045882306995,0.0005073629620374149,0.004350852686911821,0.0028648856095969677,0.0029228825587779284,0.002506932243704796,0.0033937767148017883,0.0031346064060926437,0.0035934813786298037,0.002842961112037301,0.003111222991719842,0.002479197923094034,0.0024335950147360563,0.002790871076285839,0.00359550304710865,0.002235181163996458,0.0026410408318042755,0.0029535070061683655,0.003343893913552165,0.0025812394451349974,0.002730289939790964,0.0022981707006692886
16.0,0.075,4.969,0.003464005037676543,0.0007058062781706581,0.002249591052532196,0.004504146054387093,0.003056454472243786,0.004996739327907562,0.0029972598422318697,0.003378037828952074,0.0027754642069339752,0.003032855223864317,0.0032296732533723116,0.0032685925252735615,0.003297364804893732,0.0030223263893276453,0.0024883956648409367,0.0045288242399692535,0.004006444476544857,0.003382077906280756,0.0030906880274415016,0.004295277874916792,0.0035314224660396576,0.0041484651155769825
8.0,0.075,4.972,0.0003033717381185852,0.00010434989068822875,0.0003782670246437192,0.00023262540344148874,0.00044809584505856037,0.0002442580589558929,0.0005619496805593371,0.0003537698939908296,0.0003769359609577805,0.00017680722521618009,0.0001907004916574806,0.0003262379323132336,0.0001766135828802362,0.000361703714588657,0.00035837129689753056,0.000433710782090202,0.00019971693109255284,0.0002230744867119938,0.00018591058324091136,0.00021374408970586956,0.0003135708102490753,0.0003113709681201726
8.0,0.075,4.968,0.0003666431570309214,0.0001590207908982467,0.00027294381288811564,0.00020696406136266887,0.00034886415232904255,0.00012026882905047387,0.0003861775330733508,0.00016532710287719965,0.0003280170203652233,0.0003118901513516903,0.0003878172137774527,0.0006653167656622827,0.0006349334726110101,0.0005705383373424411,0.00026424782117828727,0.00024163606576621532,0.0003105286159552634,0.000555504928342998,0.0006397179095074534,0.00022389837249647826,0.00032302114414051175,0.0003752498305402696
8.0,0.075,4.966,0.0001693548161711078,6.300180523940977e-05,0.00016446869994979352,0.00017547508468851447,0.00026791339041665196,0.00012101868924219161,0.00019554006576072425,0.00017097785894293338,0.00015201089263428003,0.00024519162252545357,0.00033621402690187097,0.00024489828501828015,0.00011667752551147714,9.41214311751537e-05,0.0001345587515970692,7.922970689833164e-05,0.000177564870682545,0.00011893006740137935,0.00010058087354991585,0.00019841649918816984,0.0001471464056521654,0.00014616157568525523
8.0,0.075,4.97,0.0004150172426307108,0.000168771037594418,0.00040865392656996846,0.000500358291901648,0.0007827092194929719,0.00038118622615002096,0.00032660766737535596,0.00035324267810210586,0.0003946753276977688,0.00031756909447722137,0.00021284291869960725,0.00026005771360360086,0.0006376734818331897,0.0007607497391290963,0.000366339401807636,0.0005641649477183819,0.00037383809103630483,0.00038187249447219074,0.0001908494596136734,0.0005595440743491054,0.00014939633547328413,0.0003780137631110847
12.0,0.075,4.968,0.00047134226624621076,0.000209080153412732,0.00077438959851861,0.00024822246632538736,0.0003424502210691571,0.00030854466604068875,0.0010126556735485792,0.00026213008095510304,0.0005312636494636536,0.00024888329789973795,0.0006487885839305818,0.0007165235583670437,0.0002204828488174826,0.0005653119878843427,0.0006809240439906716,0.0003969993849750608,0.00045710167614743114,0.0003108882810920477,0.0005777972983196378,0.00031930377008393407,0.00031021086033433676,0.000493973377160728
12.0,0.075,4.97,0.00029733229894191027,7.814926127830856e-05,0.0004590457247104496,0.0001994330668821931,0.00023694759875070304,0.00023020610387902707,0.00016474441508762538,0.0002837662468664348,0.0002973492373712361,0.0003966831718571484,0.00020904725533910096,0.00020720521570183337,0.0002964019076898694,0.00037862075259909034,0.00035478765494190156,0.00030591688118875027,0.0002494251530151814,0.0003727641305886209,0.00032494321931153536,0.00023202915326692164,0.0003682582755573094,0.00037907081423327327
12.0,0.075,4.969,0.0010142966930288821,0.00029568171225389275,0.00088585662888363,0.0018336180364713073,0.0011697422014549375,0.001011607819236815,0.0007709183846600354,0.000768251542467624,0.0006802894058637321,0.0010090784635394812,0.0007339128060266376,0.0006444561295211315,0.0011278254678472877,0.001024668919853866,0.0005787898553535342,0.0011604682076722383,0.001242622034624219,0.0015046214684844017,0.0008882135152816772,0.001250737113878131,0.0010231506312265992,0.0009771052282303572
