# vol beta    mean                  error_mean              variance                error_variance          skewness                error_skewness          kurtosis                error_kurtosis
8 4.9760   1.094488115769707e+00   7.122771629958629e-03   2.444619958939231e-02   1.329749782977047e-03  -9.984731605960064e-01   8.073042474642661e-02   2.905460862124983e+00   2.294341436990741e-01  
8 4.9780   1.010570470820085e+00   7.895101797884864e-03   3.147048311627998e-02   6.777251583493691e-04  -2.592546064866212e-01   6.819955538679466e-02   1.711301973807110e+00   5.080481547891974e-02  
8 4.9800   9.590545681767821e-01   7.877842758635433e-03   3.232399337147207e-02   6.157203135177513e-04   1.328809289092447e-01   6.702978814789133e-02   1.619922966972354e+00   3.170827793871931e-02  
8 4.9820   8.787573457655640e-01   8.115836021614694e-03   2.583437976464786e-02   1.401955001899518e-03   8.034006269066367e-01   8.099646865733669e-02   2.520433980302300e+00   2.015693017279810e-01  
12 4.9780   1.056631819531546e+00   1.143984939994719e-02   1.989490546800510e-02   1.358418539449505e-03  -7.479396056112932e-01   1.434210768008371e-01   2.193223555723478e+00   2.797016817388016e-01  
12 4.9790   9.775664208262071e-01   1.091716010750752e-02   2.213574873318347e-02   5.940151047998447e-04   3.989331060338142e-02   1.167472838197396e-01   1.556655017273414e+00   3.316920014718867e-02  
12 4.9800   9.035653120840692e-01   1.003741746471261e-02   1.763548064533027e-02   1.377286854318445e-03   7.826327934456998e-01   1.256283161395596e-01   2.402620917272372e+00   2.962429152682085e-01  
16 4.9780   1.099918956890711e+00   1.007257153668380e-02   9.091584233776151e-03   2.108516922332533e-03  -1.679862181577349e+00   2.216042189664149e-01   5.053829234398194e+00   1.289665272111596e+00  
16 4.9790   1.004570340731576e+00   1.243215474352612e-02   1.832874610135771e-02   6.660371052114566e-04  -2.445499509314502e-01   1.512595661845501e-01   1.528654465798255e+00   9.355961104254934e-02  
16 4.9800   8.695885758471604e-01   7.515509637680067e-03   8.414771895491002e-03   1.395912202752553e-03   1.463594266416990e+00   1.426679580897948e-01   4.642034574554941e+00   6.936952740398414e-01  
