# vol beta    mean                  error_mean              variance                error_variance          skewness                error_skewness          kurtosis                error_kurtosis
8 4.9880   1.027936291593335e+00   8.986883126597869e-03   2.815700588022896e-02   7.367526829199776e-04  -2.874457240070640e-01   7.920266281348787e-02   1.773183962357791e+00   6.259408527439997e-02  
8 4.9900   9.715431842802502e-01   9.389742533628823e-03   2.903554013774823e-02   7.184710538963802e-04   1.207576793878502e-01   8.217199160424585e-02   1.660974785218343e+00   3.954554409703694e-02  
8 4.9920   9.100792205820483e-01   7.327300521052856e-03   2.472051077066961e-02   1.035128360598676e-03   6.460101988467102e-01   7.270112070160824e-02   2.239161775459706e+00   1.425890918365026e-01  
12 4.9880   1.054255747342410e+00   9.174050610464292e-03   1.662639116911446e-02   1.006870755252329e-03  -6.138799973730897e-01   1.127126358275386e-01   2.131389439880479e+00   2.030524921350315e-01  
12 4.9890   9.923605608051531e-01   9.419372093829721e-03   1.933263140019781e-02   5.641523456828242e-04   4.198393865534555e-02   9.894361678597521e-02   1.629393798345063e+00   3.413474606727513e-02  
12 4.9900   9.363638393406859e-01   9.379174201181690e-03   1.631516631445762e-02   1.032224199558329e-03   5.939613360567648e-01   1.177540199398965e-01   2.112360032332361e+00   2.079633138282242e-01  
16 4.9880   1.091425893083951e+00   7.451852039540298e-03   8.086102738914747e-03   1.096445798909950e-03  -1.289008742364373e+00   1.448780923294408e-01   3.944936704884640e+00   6.242111703328281e-01  
16 4.9890   9.761397001688792e-01   1.178798167935682e-02   1.314353852738182e-02   7.277059937467630e-04   2.419005962630170e-01   1.562362125859926e-01   1.693976139012264e+00   1.190978886596361e-01  
16 4.9900   8.890224313424824e-01   4.819902021893147e-03   5.497473987901902e-03   7.500108782949893e-04   1.333748686490651e+00   9.915913222907931e-02   4.835869302187461e+00   5.015856042792286e-01  
