         #betas            mean        mean_std        skewness    skewness_std        kurtosis    kurtosis_std
    4.986000000     1.161860591     0.007627748    -1.819242600     0.256366102    11.619432928     1.420127293
    4.986080808     1.160423136     0.007516343    -1.890242974     0.229343277    11.815226419     1.568471153
    4.986161616     1.158878523     0.007416860    -1.955562047     0.200497275    11.893002803     1.022268392
    4.986242424     1.157268989     0.007269368    -2.008441263     0.169997512    11.832537317     0.990095677
    4.986323232     1.155603868     0.007125379    -2.043007711     0.151682291    11.265849992     0.816561466
    4.986404040     1.153817993     0.007010546    -2.085251984     0.125456740    11.322668349     0.928948028
    4.986484848     1.151984721     0.006863409    -2.117897955     0.101925565    11.282756988     0.865233508
    4.986565657     1.150001866     0.006721117    -2.133532156     0.086883080    10.919308138     0.862390921
    4.986646465     1.147920918     0.006605936    -2.143590425     0.070720208    10.636585628     0.863814114
    4.986727273     1.145735496     0.006406373    -2.143919139     0.070529104    10.456269665     0.986700305
    4.986808081     1.143402344     0.006255342    -2.132541392     0.076376794     9.987190325     1.001046826
    4.986888889     1.140988964     0.006064912    -2.108390888     0.078585955     9.522203352     0.963161895
    4.986969697     1.138424772     0.005884222    -2.075519955     0.082355928     9.057445778     0.830032303
    4.987050505     1.135713464     0.005617450    -2.035837438     0.085749903     8.560686896     0.792412858
    4.987131313     1.132828325     0.005381758    -1.990120331     0.088810951     8.133674084     0.778564325
    4.987212121     1.129776615     0.005089401    -1.933402075     0.088368114     7.622862979     0.694313610
    4.987292929     1.126563728     0.004793946    -1.873351548     0.086351518     7.134937510     0.633218067
    4.987373737     1.123136979     0.004414062    -1.805955223     0.078876243     6.614408362     0.473211255
    4.987454545     1.119465828     0.003951842    -1.734233698     0.072270600     6.155206318     0.440186614
    4.987535354     1.115540534     0.003539920    -1.656629434     0.064072403     5.692248999     0.361499362
    4.987616162     1.111431640     0.003076842    -1.577927675     0.053682628     5.260995386     0.262735722
    4.987696970     1.106982404     0.002627477    -1.493340138     0.045522138     4.836271094     0.216663365
    4.987777778     1.102197242     0.002285190    -1.405870769     0.038464153     4.439927733     0.164491150
    4.987858586     1.096983939     0.001933676    -1.314063269     0.030152980     4.063134662     0.105590972
    4.987939394     1.091214150     0.001629691    -1.216379904     0.024523612     3.688972486     0.082168503
    4.988020202     1.084675092     0.001555717    -1.110891748     0.022781357     3.326721895     0.076892437
    4.988101010     1.077355260     0.001629606    -0.998566708     0.022843046     2.991332423     0.073608930
    4.988181818     1.069722986     0.001653163    -0.887511813     0.022628269     2.703848286     0.063131936
    4.988262626     1.061755061     0.001785246    -0.776244185     0.023373945     2.455417412     0.055158638
    4.988343434     1.053488207     0.001872022    -0.666187392     0.023924123     2.233842513     0.047061144
    4.988424242     1.045017308     0.001987573    -0.557718897     0.024907385     2.056576561     0.039909484
    4.988505051     1.036253780     0.002142338    -0.448582688     0.026246929     1.912747072     0.037386105
    4.988585859     1.027361083     0.002226831    -0.341618002     0.026956665     1.803172292     0.028284494
    4.988666667     1.018230677     0.002101700    -0.233570233     0.025130025     1.722423483     0.020265649
    4.988747475     1.009032518     0.001983911    -0.127058398     0.023639117     1.674060589     0.012433267
    4.988828283     0.999805456     0.001803190    -0.020570987     0.022275193     1.655304133     0.010733214
    4.988909091     0.990510386     0.001729729     0.085806025     0.021047943     1.674982879     0.008273478
    4.988989899     0.981388584     0.001601665     0.191067565     0.020199734     1.711381546     0.014798183
    4.989070707     0.972428411     0.001487207     0.295530066     0.018698596     1.786498680     0.014469399
    4.989151515     0.963641539     0.001486631     0.399962985     0.018908130     1.885286216     0.021341289
    4.989232323     0.954979315     0.001538955     0.504834813     0.019268027     2.021054012     0.026544011
    4.989313131     0.946677712     0.001521569     0.608500885     0.019085478     2.181972544     0.030165105
    4.989393939     0.938732493     0.001580710     0.710913175     0.019412768     2.373590612     0.036848447
    4.989474747     0.931090286     0.001573466     0.812305700     0.020004195     2.601177118     0.043185119
    4.989555556     0.923740304     0.001495265     0.913440115     0.018895796     2.854089098     0.050939238
    4.989636364     0.916810781     0.001492938     1.012217598     0.020189355     3.146384411     0.062220736
    4.989717172     0.910285318     0.001355027     1.107745547     0.019250825     3.465031848     0.065226084
    4.989797980     0.904094872     0.001258702     1.201077966     0.019653311     3.815089575     0.077047814
    4.989878788     0.898308280     0.001205238     1.291619220     0.020052005     4.178404109     0.089957954
    4.989959596     0.892719984     0.001230312     1.379147875     0.020008032     4.594961069     0.101202304
    4.990040404     0.887533960     0.001390117     1.462187051     0.023727726     5.017821714     0.125528575
    4.990121212     0.882584608     0.001570440     1.539401274     0.025998797     5.483998275     0.151136264
    4.990202020     0.877940583     0.001731447     1.611101109     0.027636615     5.933402823     0.182721858
    4.990282828     0.873542324     0.001931020     1.674311977     0.028853332     6.414021347     0.196183502
    4.990363636     0.869395858     0.002143161     1.731139332     0.029637104     6.898187508     0.252658949
    4.990444444     0.865497085     0.002291624     1.775317345     0.031483000     7.358450134     0.242769110
    4.990525253     0.861851770     0.002470504     1.808796138     0.030716463     7.818252485     0.252494722
    4.990606061     0.858453223     0.002631467     1.829628684     0.036172940     8.238292103     0.302093820
    4.990686869     0.855278957     0.002802807     1.836456653     0.039644159     8.583466559     0.254141699
    4.990767677     0.852278039     0.002965357     1.833462199     0.048555823     8.879525514     0.280275213
    4.990848485     0.849524567     0.003113915     1.816019195     0.057630732     9.111965609     0.291022518
    4.990929293     0.846927658     0.003294125     1.782483380     0.068658288     9.279654008     0.336815416
    4.991010101     0.844492856     0.003463975     1.738987755     0.079403096     9.316973821     0.430524683
    4.991090909     0.842238104     0.003617451     1.685661293     0.097044940     9.389830001     0.382931323
    4.991171717     0.840148389     0.003693164     1.626397953     0.105313954     9.287388549     0.402416996
    4.991252525     0.838170934     0.003813885     1.562683122     0.116893055     9.130022334     0.452303764
    4.991333333     0.836271256     0.003917952     1.490383071     0.125597742     8.909713050     0.491653339
    4.991414141     0.834486526     0.004029299     1.418723036     0.128603297     8.660197862     0.670111024
    4.991494949     0.832779309     0.004127537     1.337046335     0.140695292     8.365455608     0.608988646
    4.991575758     0.831158069     0.004279329     1.262419543     0.144720300     8.024595250     0.832004064
    4.991656566     0.829574472     0.004390173     1.186175240     0.150835222     7.746318714     0.833501732
    4.991737374     0.828070003     0.004510039     1.104302064     0.150106019     7.377689535     0.753598594
    4.991818182     0.826625195     0.004639541     1.037841281     0.151636242     6.948919008     0.886209952
    4.991898990     0.825255290     0.004808702     0.963068943     0.146597223     6.698557901     0.976117823
    4.991979798     0.823962015     0.005068084     0.902744874     0.152879536     6.493659019     0.815443658
    4.992060606     0.822704655     0.005313927     0.843001810     0.148203176     6.142497758     1.085154019
    4.992141414     0.821498546     0.005556977     0.786266009     0.143928887     5.826235460     1.062342136
    4.992222222     0.820338085     0.005769505     0.733728801     0.139849890     5.583606174     0.890059320
    4.992303030     0.819221401     0.005987570     0.681625888     0.136006715     5.347866597     0.983662281
    4.992383838     0.818113375     0.006191973     0.638169725     0.140739026     5.100257960     0.769579980
    4.992464646     0.817038006     0.006416605     0.592176307     0.127148532     4.906539272     0.783448123
    4.992545455     0.816009605     0.006636248     0.557787608     0.126342467     4.646539871     1.077807942
    4.992626263     0.814983025     0.006857053     0.527513738     0.121636466     4.224400829     0.809902483
    4.992707071     0.814003670     0.007087175     0.495641347     0.117177551     4.281080874     0.782054598
    4.992787879     0.813013420     0.007306209     0.458223892     0.112990323     4.411020852     0.757921755
    4.992868687     0.812068096     0.007536986     0.433100532     0.112212673     4.095505018     0.698747725
    4.992949495     0.811131108     0.007788172     0.403447821     0.107365594     4.199286294     0.639086990
    4.993030303     0.810192591     0.008043568     0.386278037     0.105194566     4.025702568     1.459057172
    4.993111111     0.809270227     0.008308058     0.369200620     0.103684612     3.787434383     0.680947620
    4.993191919     0.808354381     0.008563281     0.347177555     0.101391677     3.897722962     0.734115354
    4.993272727     0.807458946     0.008847441     0.335200792     0.102692312     3.380785513     0.898360608
    4.993353535     0.806566420     0.009108173     0.317315822     0.099204767     3.594107973     1.087168304
    4.993434343     0.805675134     0.009372667     0.304693189     0.088973942     3.381837298     0.749804473
    4.993515152     0.804814020     0.009662282     0.286960355     0.091753007     3.661705032     0.812382296
    4.993595960     0.803954011     0.009920277     0.278535454     0.088362448     3.275365503     0.728829545
    4.993676768     0.803100920     0.010182562     0.264254248     0.084117167     3.558133329     0.779052088
    4.993757576     0.802263498     0.010410610     0.257317794     0.091200100     3.170178474     1.054387525
    4.993838384     0.801436561     0.010665672     0.243285498     0.086902166     3.505982741     0.851137201
    4.993919192     0.800625867     0.010905445     0.235166089     0.088947142     3.371501053     0.967642631
    4.994000000     0.799804452     0.011145948     0.221732578     0.087233854     3.575213250     1.501012499
