epoch,loss,val_loss
1,-1.6903055906295776,-1.9728057384490967
2,-1.9895654916763306,-2.0070788860321045
3,-2.023339033126831,-2.03961181640625
4,-2.0563223361968994,-2.073443651199341
5,-2.087416648864746,-2.102092981338501
6,-2.1123807430267334,-2.122901678085327
7,-2.1306850910186768,-2.139437198638916
8,-2.1445655822753906,-2.1498324871063232
9,-2.1553375720977783,-2.1597001552581787
10,-2.164046049118042,-2.1672921180725098
11,-2.1705482006073,-2.1723709106445312
12,-2.176218271255493,-2.1794114112854004
13,-2.1807594299316406,-2.179605484008789
14,-2.1846821308135986,-2.186924934387207
15,-2.187835693359375,-2.18756365776062
16,-2.1905322074890137,-2.190415382385254
17,-2.1931583881378174,-2.194734811782837
18,-2.1951282024383545,-2.196281909942627
19,-2.197317123413086,-2.1970274448394775
20,-2.198843240737915,-2.2002296447753906
21,-2.2003836631774902,-2.201251983642578
22,-2.2017409801483154,-2.1985137462615967
23,-2.2032933235168457,-2.2038071155548096
24,-2.2043988704681396,-2.205264091491699
25,-2.205509901046753,-2.2061171531677246
26,-2.2066166400909424,-2.207749843597412
27,-2.207488775253296,-2.208601474761963
28,-2.208449363708496,-2.2096290588378906
29,-2.209357500076294,-2.2091805934906006
30,-2.2102620601654053,-2.208193778991699
31,-2.2108116149902344,-2.2116823196411133
32,-2.2117674350738525,-2.212435483932495
33,-2.212625503540039,-2.2118823528289795
34,-2.2128477096557617,-2.214409112930298
35,-2.2136969566345215,-2.214891195297241
36,-2.2143969535827637,-2.2147092819213867
37,-2.215010166168213,-2.2152185440063477
38,-2.2154781818389893,-2.215306520462036
39,-2.216181755065918,-2.215376377105713
40,-2.2166171073913574,-2.217170000076294
41,-2.217271327972412,-2.217133045196533
42,-2.2175402641296387,-2.2174689769744873
43,-2.2182419300079346,-2.2192065715789795
44,-2.2186267375946045,-2.219271421432495
45,-2.2192342281341553,-2.218836784362793
46,-2.2196712493896484,-2.2194998264312744
47,-2.220064878463745,-2.2212164402008057
48,-2.220508575439453,-2.2203922271728516
49,-2.2211828231811523,-2.220957040786743
50,-2.2212765216827393,-2.2219185829162598
51,-2.2216439247131348,-2.2210984230041504
52,-2.2222938537597656,-2.2225661277770996
53,-2.222517967224121,-2.2224576473236084
54,-2.222825288772583,-2.2237586975097656
55,-2.2232890129089355,-2.223198890686035
56,-2.2237589359283447,-2.223255157470703
57,-2.2240376472473145,-2.224531888961792
58,-2.224388360977173,-2.2239677906036377
59,-2.2247397899627686,-2.2254092693328857
60,-2.2250988483428955,-2.2256462574005127
61,-2.2254116535186768,-2.2236874103546143
62,-2.2255990505218506,-2.2257027626037598
63,-2.226052761077881,-2.2260046005249023
64,-2.2263572216033936,-2.226525068283081
65,-2.226935625076294,-2.227177858352661
66,-2.2268717288970947,-2.227696180343628
67,-2.2274839878082275,-2.2269034385681152
68,-2.227771282196045,-2.2278544902801514
69,-2.228058338165283,-2.2283477783203125
