epoch,loss,val_loss
1,-1.971947193145752,-2.0958542823791504
2,-2.1185526847839355,-2.1341192722320557
3,-2.148595094680786,-2.1595458984375
4,-2.1658718585968018,-2.17147159576416
5,-2.1774373054504395,-2.183042287826538
6,-2.185360908508301,-2.1878981590270996
7,-2.1919314861297607,-2.19549822807312
8,-2.196871757507324,-2.1985421180725098
9,-2.2004170417785645,-2.1957006454467773
10,-2.203813076019287,-2.2072763442993164
11,-2.2066197395324707,-2.2085843086242676
12,-2.208862066268921,-2.2086246013641357
13,-2.2110376358032227,-2.2134439945220947
14,-2.212928056716919,-2.2135727405548096
15,-2.2146522998809814,-2.214534044265747
16,-2.2161598205566406,-2.2162160873413086
17,-2.217644691467285,-2.212327241897583
18,-2.2190442085266113,-2.2212600708007812
19,-2.220144510269165,-2.220499277114868
20,-2.2214043140411377,-2.2222912311553955
21,-2.222576856613159,-2.2227683067321777
22,-2.223280668258667,-2.224729061126709
23,-2.224630355834961,-2.2260189056396484
24,-2.2255783081054688,-2.2278034687042236
25,-2.2264606952667236,-2.2268686294555664
26,-2.2273077964782715,-2.229187488555908
27,-2.228199005126953,-2.2305397987365723
28,-2.229149580001831,-2.2296228408813477
29,-2.2298667430877686,-2.2304553985595703
30,-2.2306416034698486,-2.2310264110565186
31,-2.2313969135284424,-2.2320902347564697
32,-2.231968402862549,-2.232196807861328
33,-2.2326302528381348,-2.2343742847442627
34,-2.2332894802093506,-2.2351841926574707
35,-2.234070062637329,-2.2338123321533203
36,-2.2345902919769287,-2.234160900115967
37,-2.2354178428649902,-2.2352442741394043
38,-2.2360470294952393,-2.2310047149658203
39,-2.236563205718994,-2.2375404834747314
40,-2.2372498512268066,-2.2379605770111084
41,-2.2375831604003906,-2.238981246948242
42,-2.238499641418457,-2.2379839420318604
43,-2.238863945007324,-2.2391562461853027
44,-2.239372491836548,-2.2398412227630615
45,-2.239835500717163,-2.2395925521850586
46,-2.2403457164764404,-2.2406647205352783
47,-2.2409284114837646,-2.2401890754699707
48,-2.241328477859497,-2.2434027194976807
49,-2.2419705390930176,-2.242612600326538
50,-2.242607593536377,-2.2433624267578125
51,-2.242964267730713,-2.2422618865966797
52,-2.243286371231079,-2.2417001724243164
53,-2.2438907623291016,-2.2451956272125244
54,-2.244168519973755,-2.243263006210327
55,-2.2448477745056152,-2.245438575744629
56,-2.2450573444366455,-2.242645263671875
57,-2.2455239295959473,-2.2464616298675537
58,-2.2459893226623535,-2.246403455734253
59,-2.24648118019104,-2.2471654415130615
60,-2.246929168701172,-2.246082067489624
61,-2.247349500656128,-2.2469215393066406
62,-2.247748851776123,-2.249192714691162
63,-2.248042583465576,-2.2469260692596436
64,-2.2485544681549072,-2.248626470565796
65,-2.248948574066162,-2.2477481365203857
66,-2.2493107318878174,-2.250277042388916
67,-2.2496559619903564,-2.2510621547698975
68,-2.2501049041748047,-2.24881911277771
69,-2.250275135040283,-2.249332904815674
70,-2.2508063316345215,-2.250537157058716
71,-2.251054286956787,-2.252218008041382
72,-2.251488208770752,-2.252312660217285
73,-2.2518110275268555,-2.251209259033203
74,-2.252030611038208,-2.2515718936920166
75,-2.2524328231811523,-2.2524445056915283
76,-2.252786636352539,-2.253941774368286
77,-2.2530622482299805,-2.2545571327209473
78,-2.2533295154571533,-2.2473907470703125
79,-2.2534613609313965,-2.253704786300659
80,-2.2539100646972656,-2.2543785572052
81,-2.2540383338928223,-2.2550952434539795
82,-2.2543752193450928,-2.2544682025909424
83,-2.2547173500061035,-2.2543587684631348
84,-2.254865884780884,-2.2550342082977295
85,-2.255335807800293,-2.252052068710327
86,-2.255587100982666,-2.2544169425964355
87,-2.255668878555298,-2.2562832832336426
88,-2.256065607070923,-2.2554872035980225
89,-2.2563889026641846,-2.2539827823638916
90,-2.256436824798584,-2.2565572261810303
91,-2.2568135261535645,-2.2568233013153076
92,-2.2570865154266357,-2.254730224609375
93,-2.257249593734741,-2.256664514541626
94,-2.2575337886810303,-2.2574586868286133
95,-2.257737874984741,-2.255302667617798
96,-2.257976770401001,-2.257162094116211
97,-2.258214235305786,-2.2576045989990234
98,-2.2584056854248047,-2.256765127182007
99,-2.25856876373291,-2.2602052688598633
100,-2.2590363025665283,-2.259065866470337
101,-2.2591545581817627,-2.2589452266693115
102,-2.2592880725860596,-2.2583091259002686
103,-2.259582042694092,-2.2593040466308594
104,-2.2598934173583984,-2.2590692043304443
105,-2.2599453926086426,-2.2597403526306152
106,-2.260302782058716,-2.2596123218536377
107,-2.2604870796203613,-2.2582249641418457
108,-2.2606053352355957,-2.2621638774871826
109,-2.2609167098999023,-2.2617905139923096
110,-2.260939598083496,-2.261650323867798
111,-2.261296510696411,-2.261665105819702
112,-2.2615606784820557,-2.2603673934936523
113,-2.261681079864502,-2.258814811706543
114,-2.2618415355682373,-2.26228404045105
115,-2.2619593143463135,-2.2609856128692627
116,-2.2621853351593018,-2.261207103729248
117,-2.2623775005340576,-2.262831449508667
118,-2.2625858783721924,-2.262427568435669
119,-2.262781858444214,-2.260751485824585
120,-2.2629635334014893,-2.263575315475464
121,-2.26310396194458,-2.2629501819610596
122,-2.263354539871216,-2.2600817680358887
123,-2.263458728790283,-2.2648556232452393
124,-2.2636427879333496,-2.2641208171844482
125,-2.2637245655059814,-2.2644481658935547
