epoch,loss,val_loss
1,-1.8897857666015625,-2.030916929244995
2,-2.0685107707977295,-2.0984609127044678
3,-2.116239547729492,-2.1304306983947754
4,-2.1422605514526367,-2.151237726211548
5,-2.1588361263275146,-2.1636290550231934
6,-2.170285940170288,-2.1766409873962402
7,-2.1793265342712402,-2.1825335025787354
8,-2.1859591007232666,-2.188544273376465
9,-2.191049814224243,-2.1897435188293457
10,-2.195465564727783,-2.1950721740722656
11,-2.1991751194000244,-2.200899362564087
12,-2.2020483016967773,-2.203866958618164
13,-2.2048428058624268,-2.206458568572998
14,-2.2070841789245605,-2.2086784839630127
15,-2.2091779708862305,-2.2096691131591797
16,-2.2111122608184814,-2.213099241256714
17,-2.2127411365509033,-2.2150814533233643
18,-2.2145655155181885,-2.215068817138672
19,-2.215981960296631,-2.2159173488616943
20,-2.2173757553100586,-2.2147767543792725
21,-2.2185330390930176,-2.219522714614868
22,-2.219724178314209,-2.2214834690093994
23,-2.2207865715026855,-2.2181739807128906
24,-2.2219014167785645,-2.2211756706237793
25,-2.2227981090545654,-2.2225241661071777
26,-2.223951578140259,-2.2258808612823486
27,-2.2248573303222656,-2.224682569503784
28,-2.225604295730591,-2.2242846488952637
29,-2.2263948917388916,-2.226719856262207
30,-2.2271933555603027,-2.228315591812134
31,-2.22786021232605,-2.226322650909424
32,-2.2286107540130615,-2.2266628742218018
33,-2.229336738586426,-2.230109214782715
34,-2.2301387786865234,-2.23002028465271
35,-2.230827808380127,-2.2335894107818604
36,-2.2314207553863525,-2.2321364879608154
37,-2.2320995330810547,-2.233351230621338
38,-2.2325656414031982,-2.2320733070373535
39,-2.2334461212158203,-2.2297396659851074
40,-2.2339258193969727,-2.234431028366089
41,-2.2344484329223633,-2.236363172531128
42,-2.235060214996338,-2.2346832752227783
43,-2.235337018966675,-2.237018585205078
44,-2.2360262870788574,-2.2352371215820312
45,-2.2365972995758057,-2.234689712524414
46,-2.237145185470581,-2.2383806705474854
47,-2.2376091480255127,-2.235746383666992
48,-2.238219738006592,-2.2400529384613037
49,-2.238630771636963,-2.2359442710876465
50,-2.238926410675049,-2.239531993865967
51,-2.2394981384277344,-2.2381303310394287
52,-2.239957094192505,-2.2396626472473145
53,-2.2403054237365723,-2.240379810333252
54,-2.2407472133636475,-2.2416317462921143
55,-2.241231679916382,-2.2424628734588623
56,-2.2416582107543945,-2.2435450553894043
57,-2.2422282695770264,-2.241279125213623
58,-2.242476463317871,-2.2430334091186523
59,-2.2427403926849365,-2.2406182289123535
60,-2.243194341659546,-2.243830919265747
61,-2.2435390949249268,-2.2445411682128906
62,-2.2440738677978516,-2.244875907897949
63,-2.244192123413086,-2.2430996894836426
64,-2.2446813583374023,-2.2448954582214355
65,-2.2449615001678467,-2.2458150386810303
66,-2.245303153991699,-2.246711015701294
67,-2.245856523513794,-2.2473084926605225
68,-2.246025562286377,-2.246781826019287
69,-2.2466156482696533,-2.2474818229675293
70,-2.2468504905700684,-2.245835781097412
71,-2.246980905532837,-2.248164653778076
72,-2.247511386871338,-2.2487480640411377
73,-2.247786045074463,-2.247068166732788
74,-2.2481071949005127,-2.2494728565216064
75,-2.248380661010742,-2.246288537979126
76,-2.2487380504608154,-2.2491824626922607
77,-2.248844623565674,-2.249958038330078
78,-2.2493178844451904,-2.2469074726104736
79,-2.2496657371520996,-2.250833034515381
80,-2.2499992847442627,-2.251039505004883
81,-2.250251054763794,-2.2518839836120605
82,-2.250497817993164,-2.246934413909912
83,-2.2507848739624023,-2.2506206035614014
84,-2.2511467933654785,-2.2509493827819824
85,-2.251417636871338,-2.251115083694458
86,-2.2516860961914062,-2.2503018379211426
87,-2.2517998218536377,-2.252358913421631
88,-2.2523908615112305,-2.2515156269073486
89,-2.2523908615112305,-2.2512004375457764
90,-2.252516031265259,-2.254347324371338
91,-2.2530322074890137,-2.254364252090454
92,-2.253340244293213,-2.2529029846191406
93,-2.253251075744629,-2.2536871433258057
94,-2.253526210784912,-2.253417491912842
95,-2.253819227218628,-2.2548394203186035
96,-2.2543721199035645,-2.2543318271636963
97,-2.2543444633483887,-2.2519476413726807
98,-2.2546989917755127,-2.2550065517425537
99,-2.254760503768921,-2.2554783821105957
100,-2.255208730697632,-2.2557523250579834
101,-2.255502223968506,-2.25528621673584
102,-2.2553319931030273,-2.256459951400757
103,-2.2557506561279297,-2.254969358444214
104,-2.255995512008667,-2.2568535804748535
105,-2.2561731338500977,-2.256711006164551
106,-2.256455659866333,-2.255613088607788
107,-2.256490468978882,-2.2561302185058594
108,-2.256819725036621,-2.2560760974884033
109,-2.2570416927337646,-2.2578752040863037
110,-2.257396697998047,-2.2577571868896484
111,-2.257462501525879,-2.2593634128570557
112,-2.257648229598999,-2.2594640254974365
113,-2.2577974796295166,-2.2568602561950684
114,-2.25811767578125,-2.252685546875
115,-2.258206844329834,-2.258577346801758
116,-2.2585513591766357,-2.260021924972534
117,-2.2587318420410156,-2.258572816848755
118,-2.2589075565338135,-2.2579874992370605
119,-2.2590138912200928,-2.2573354244232178
120,-2.2591235637664795,-2.260685682296753
121,-2.259348154067993,-2.2582690715789795
122,-2.259575843811035,-2.2589142322540283
123,-2.2598764896392822,-2.2561728954315186
124,-2.2597601413726807,-2.2610561847686768
125,-2.2599754333496094,-2.260026454925537
126,-2.2602155208587646,-2.2611119747161865
127,-2.2602548599243164,-2.2611727714538574
128,-2.260702133178711,-2.260388135910034
129,-2.260871648788452,-2.2603185176849365
130,-2.2610085010528564,-2.260078191757202
131,-2.2612218856811523,-2.2604458332061768
132,-2.261368751525879,-2.260483980178833
133,-2.2615609169006348,-2.2605550289154053
134,-2.261718273162842,-2.261822462081909
135,-2.261868715286255,-2.262280225753784
136,-2.261932849884033,-2.2624690532684326
137,-2.2619547843933105,-2.2632060050964355
138,-2.2621517181396484,-2.2619173526763916
139,-2.2622902393341064,-2.2613301277160645
140,-2.2625699043273926,-2.2636003494262695
141,-2.262605667114258,-2.2629261016845703
142,-2.2627830505371094,-2.262437582015991
143,-2.262786388397217,-2.2629823684692383
144,-2.263145923614502,-2.2631304264068604
145,-2.263221025466919,-2.2642149925231934
146,-2.2632975578308105,-2.2632293701171875
147,-2.263423442840576,-2.264542818069458
148,-2.2636125087738037,-2.2632558345794678
149,-2.2637269496917725,-2.2638471126556396
150,-2.2639243602752686,-2.2643470764160156
151,-2.264017343521118,-2.2627527713775635
152,-2.2643091678619385,-2.2654311656951904
153,-2.264397621154785,-2.264885663986206
154,-2.2645764350891113,-2.263963222503662
155,-2.2645366191864014,-2.26438570022583
156,-2.2647125720977783,-2.26562237739563
157,-2.2648942470550537,-2.2660348415374756
158,-2.2651147842407227,-2.2656161785125732
159,-2.265075922012329,-2.264695405960083
160,-2.2652804851531982,-2.265362501144409
161,-2.2653510570526123,-2.2663931846618652
162,-2.2655351161956787,-2.265925645828247
163,-2.265463352203369,-2.2663414478302
164,-2.2657344341278076,-2.2662770748138428
165,-2.265918493270874,-2.2670516967773438
166,-2.2658448219299316,-2.2632479667663574
167,-2.2661807537078857,-2.26619815826416
168,-2.26628041267395,-2.2663333415985107
169,-2.266380786895752,-2.2669296264648438
170,-2.2665038108825684,-2.2666592597961426
171,-2.2666175365448,-2.2667179107666016
172,-2.2666015625,-2.267674446105957
173,-2.2668979167938232,-2.266773223876953
174,-2.2670936584472656,-2.267627477645874
175,-2.267061710357666,-2.267329454421997
176,-2.267184257507324,-2.2639808654785156
177,-2.267319917678833,-2.268040895462036
178,-2.2673094272613525,-2.264742136001587
179,-2.2675576210021973,-2.26800537109375
180,-2.2676644325256348,-2.26792049407959
181,-2.267866611480713,-2.268174409866333
182,-2.26776385307312,-2.2669365406036377
183,-2.2680439949035645,-2.2661821842193604
184,-2.2680704593658447,-2.269078493118286
185,-2.2682864665985107,-2.267451286315918
186,-2.2682673931121826,-2.2686734199523926
