epoch,loss,val_loss
1,-1.6801499128341675,-2.0100831985473633
2,-2.029971122741699,-2.049328088760376
3,-2.0667519569396973,-2.083040237426758
4,-2.094888925552368,-2.1045970916748047
5,-2.1148593425750732,-2.12282657623291
6,-2.128497362136841,-2.133592128753662
7,-2.1385583877563477,-2.142366647720337
8,-2.146846294403076,-2.151106119155884
9,-2.153831958770752,-2.156191349029541
10,-2.1599063873291016,-2.1624951362609863
11,-2.1649951934814453,-2.1678459644317627
12,-2.1695170402526855,-2.1712124347686768
13,-2.1735153198242188,-2.175664186477661
14,-2.1773390769958496,-2.1791181564331055
15,-2.180711030960083,-2.181553602218628
16,-2.183745861053467,-2.185096025466919
17,-2.1867904663085938,-2.1881113052368164
18,-2.18932843208313,-2.189582347869873
19,-2.1916449069976807,-2.193207025527954
20,-2.1937053203582764,-2.1917736530303955
21,-2.1959245204925537,-2.196990728378296
22,-2.1976876258850098,-2.1980628967285156
23,-2.1993229389190674,-2.2002367973327637
24,-2.201078176498413,-2.201871156692505
25,-2.2023873329162598,-2.2026405334472656
26,-2.203693389892578,-2.2037572860717773
27,-2.2053005695343018,-2.205678939819336
28,-2.2066454887390137,-2.20762038230896
29,-2.207747220993042,-2.204946994781494
30,-2.20882511138916,-2.209937810897827
31,-2.2098662853240967,-2.2107996940612793
32,-2.211045026779175,-2.2111947536468506
33,-2.2118208408355713,-2.2107908725738525
34,-2.2126681804656982,-2.2134451866149902
35,-2.213468313217163,-2.213808298110962
36,-2.2146518230438232,-2.2148382663726807
37,-2.2152438163757324,-2.2151339054107666
38,-2.2159500122070312,-2.2165534496307373
39,-2.21673583984375,-2.2170472145080566
40,-2.217759609222412,-2.21628999710083
41,-2.218167304992676,-2.2185912132263184
42,-2.2189598083496094,-2.219609498977661
43,-2.2194247245788574,-2.2201411724090576
44,-2.2199771404266357,-2.220776319503784
45,-2.2210209369659424,-2.2209582328796387
46,-2.221235990524292,-2.2204437255859375
47,-2.221921920776367,-2.2227284908294678
48,-2.2225539684295654,-2.2220520973205566
49,-2.22305965423584,-2.22259259223938
50,-2.223629951477051,-2.2229020595550537
51,-2.2242419719696045,-2.223893642425537
52,-2.2245712280273438,-2.22456955909729
53,-2.2250072956085205,-2.2252306938171387
54,-2.2253832817077637,-2.225278854370117
55,-2.2262966632843018,-2.224656820297241
56,-2.226663112640381,-2.2258710861206055
57,-2.2269461154937744,-2.2253286838531494
58,-2.2273027896881104,-2.22704815864563
59,-2.228015899658203,-2.2281110286712646
60,-2.2282040119171143,-2.2285256385803223
61,-2.228693962097168,-2.2290432453155518
62,-2.228959798812866,-2.2278106212615967
63,-2.229326009750366,-2.229525566101074
64,-2.230012893676758,-2.22902250289917
65,-2.2303783893585205,-2.230559825897217
66,-2.230595350265503,-2.2306416034698486
67,-2.2309675216674805,-2.229914426803589
68,-2.2311534881591797,-2.231019973754883
69,-2.2318012714385986,-2.231673002243042
70,-2.2319815158843994,-2.2304999828338623
71,-2.2321505546569824,-2.231905460357666
72,-2.2326574325561523,-2.233213186264038
73,-2.2329423427581787,-2.232752799987793
74,-2.2330970764160156,-2.230619192123413
75,-2.2335400581359863,-2.2335360050201416
76,-2.2337963581085205,-2.2332351207733154
77,-2.2342655658721924,-2.2336411476135254
78,-2.234441041946411,-2.2347426414489746
79,-2.234713077545166,-2.2352218627929688
80,-2.235092878341675,-2.2352452278137207
81,-2.235412359237671,-2.235597848892212
82,-2.2355687618255615,-2.2352235317230225
83,-2.2359211444854736,-2.235914945602417
84,-2.2362732887268066,-2.236379861831665
85,-2.2365458011627197,-2.237025260925293
86,-2.2366974353790283,-2.2358930110931396
87,-2.237067461013794,-2.235567331314087
88,-2.2372796535491943,-2.237067461013794
89,-2.237658739089966,-2.237102746963501
90,-2.237802743911743,-2.2374489307403564
91,-2.2380902767181396,-2.238588333129883
92,-2.238337993621826,-2.2385215759277344
