epoch,loss,val_loss
1,-1.8518942594528198,-2.047304630279541
2,-2.0722832679748535,-2.0950889587402344
3,-2.109501838684082,-2.1233081817626953
4,-2.132061243057251,-2.14165997505188
5,-2.147958755493164,-2.1530377864837646
6,-2.159719705581665,-2.165518283843994
7,-2.168806314468384,-2.1730234622955322
8,-2.17611026763916,-2.1792795658111572
9,-2.1815593242645264,-2.1825618743896484
10,-2.1865620613098145,-2.1883842945098877
11,-2.1906235218048096,-2.192507266998291
12,-2.1939170360565186,-2.195012092590332
13,-2.1969141960144043,-2.1980512142181396
14,-2.1996498107910156,-2.2018632888793945
15,-2.2017688751220703,-2.2026021480560303
16,-2.2041194438934326,-2.204876184463501
17,-2.205840826034546,-2.2034366130828857
18,-2.2076125144958496,-2.2089200019836426
19,-2.2091104984283447,-2.2108471393585205
20,-2.2106196880340576,-2.210352659225464
21,-2.211766242980957,-2.2114272117614746
22,-2.213097333908081,-2.2138967514038086
23,-2.2143502235412598,-2.2154929637908936
24,-2.215420961380005,-2.216427803039551
25,-2.2164366245269775,-2.2146413326263428
26,-2.217517137527466,-2.216062068939209
27,-2.218613386154175,-2.215808391571045
28,-2.21946382522583,-2.220653533935547
29,-2.220465660095215,-2.221482992172241
30,-2.2212533950805664,-2.2224481105804443
31,-2.2219252586364746,-2.2197728157043457
32,-2.222749948501587,-2.2234256267547607
33,-2.2236433029174805,-2.223839521408081
34,-2.2244653701782227,-2.224684476852417
35,-2.2251780033111572,-2.224928617477417
36,-2.2258341312408447,-2.2257814407348633
37,-2.2263848781585693,-2.2251930236816406
38,-2.227191925048828,-2.2274279594421387
39,-2.227691650390625,-2.2284836769104004
40,-2.228363275527954,-2.2293524742126465
41,-2.2290050983428955,-2.228726387023926
42,-2.2295079231262207,-2.230511426925659
43,-2.2301156520843506,-2.231472969055176
44,-2.2307353019714355,-2.2283880710601807
45,-2.231128454208374,-2.231107711791992
46,-2.231675863265991,-2.231419086456299
47,-2.2323756217956543,-2.2317497730255127
48,-2.2327799797058105,-2.232990264892578
49,-2.233168601989746,-2.2345998287200928
50,-2.233834981918335,-2.2343993186950684
51,-2.2342565059661865,-2.2334303855895996
52,-2.2345433235168457,-2.234936475753784
53,-2.235027551651001,-2.2338857650756836
54,-2.2352988719940186,-2.234571695327759
55,-2.235926628112793,-2.2365598678588867
56,-2.2363028526306152,-2.2373340129852295
57,-2.2367734909057617,-2.237415313720703
58,-2.2372028827667236,-2.23829984664917
59,-2.2375471591949463,-2.2355148792266846
60,-2.237736940383911,-2.2375824451446533
61,-2.238384962081909,-2.238307237625122
62,-2.238677978515625,-2.238149642944336
63,-2.2389442920684814,-2.237560510635376
64,-2.2393670082092285,-2.2376503944396973
65,-2.2396647930145264,-2.238041877746582
66,-2.2400612831115723,-2.240267515182495
67,-2.240253448486328,-2.2417399883270264
68,-2.2405831813812256,-2.239088296890259
69,-2.2410595417022705,-2.241316080093384
70,-2.2414705753326416,-2.2399046421051025
71,-2.241647958755493,-2.2418737411499023
72,-2.242103338241577,-2.241168737411499
73,-2.242380380630493,-2.2429745197296143
74,-2.242419958114624,-2.2430639266967773
75,-2.242964744567871,-2.242671012878418
76,-2.2431533336639404,-2.244349956512451
77,-2.2435929775238037,-2.2431888580322266
78,-2.2438528537750244,-2.243927478790283
79,-2.244171380996704,-2.2449722290039062
80,-2.2445385456085205,-2.2443268299102783
81,-2.244741201400757,-2.241697311401367
82,-2.2451019287109375,-2.2453763484954834
83,-2.2454240322113037,-2.244647979736328
84,-2.245370626449585,-2.2449791431427
85,-2.245973587036133,-2.242933511734009
86,-2.2461795806884766,-2.247042179107666
87,-2.2464027404785156,-2.244307279586792
88,-2.2466671466827393,-2.246948480606079
89,-2.2469637393951416,-2.246375560760498
90,-2.247117757797241,-2.2474942207336426
91,-2.2473630905151367,-2.248522996902466
92,-2.247779130935669,-2.247685194015503
93,-2.247877359390259,-2.2458696365356445
94,-2.2481870651245117,-2.2474350929260254
95,-2.2485978603363037,-2.248859167098999
96,-2.2487990856170654,-2.2488820552825928
97,-2.248936176300049,-2.246990203857422
98,-2.2491753101348877,-2.248439073562622
99,-2.249415874481201,-2.250133752822876
100,-2.2498018741607666,-2.249920129776001
101,-2.2497506141662598,-2.2492666244506836
102,-2.2502198219299316,-2.250938892364502
103,-2.250481605529785,-2.2494454383850098
104,-2.250481128692627,-2.2489266395568848
105,-2.2508699893951416,-2.251046895980835
106,-2.2511556148529053,-2.2505993843078613
107,-2.251215696334839,-2.2507424354553223
108,-2.2514753341674805,-2.251518487930298
109,-2.251697063446045,-2.2522428035736084
110,-2.2519752979278564,-2.2526679039001465
111,-2.252229928970337,-2.252581834793091
112,-2.2522947788238525,-2.2516746520996094
113,-2.2526464462280273,-2.2535781860351562
114,-2.252793073654175,-2.253610849380493
115,-2.2531282901763916,-2.2535150051116943
116,-2.2531795501708984,-2.253929853439331
117,-2.25353741645813,-2.254201889038086
118,-2.2535696029663086,-2.2538044452667236
119,-2.25366473197937,-2.2526562213897705
120,-2.253757953643799,-2.25313663482666
121,-2.254272699356079,-2.254157781600952
