epoch,loss,val_loss
1,-1.8978817462921143,-2.0318896770477295
2,-2.069275140762329,-2.094721555709839
3,-2.122673988342285,-2.138753652572632
4,-2.1511099338531494,-2.159290075302124
5,-2.168025016784668,-2.1750266551971436
6,-2.1787824630737305,-2.18416166305542
7,-2.186129570007324,-2.189906358718872
8,-2.191519021987915,-2.192920207977295
9,-2.196033477783203,-2.1978940963745117
10,-2.200015068054199,-2.2004377841949463
11,-2.2032663822174072,-2.2045416831970215
12,-2.2059216499328613,-2.2077605724334717
13,-2.2085916996002197,-2.2107863426208496
14,-2.2105355262756348,-2.211886167526245
15,-2.2122044563293457,-2.2130117416381836
16,-2.214010238647461,-2.213087558746338
17,-2.2156801223754883,-2.2167177200317383
18,-2.2169599533081055,-2.218418598175049
19,-2.218214750289917,-2.217940330505371
20,-2.2194325923919678,-2.2181692123413086
21,-2.2205424308776855,-2.2209465503692627
22,-2.221557378768921,-2.2216708660125732
23,-2.222809076309204,-2.223454713821411
24,-2.2235400676727295,-2.2255210876464844
25,-2.224562644958496,-2.219409704208374
26,-2.2254390716552734,-2.226621150970459
27,-2.2262232303619385,-2.225475311279297
28,-2.2272090911865234,-2.228724718093872
29,-2.227768659591675,-2.229736328125
30,-2.2286784648895264,-2.230191469192505
31,-2.2292606830596924,-2.2287216186523438
32,-2.2301907539367676,-2.2319633960723877
33,-2.230764389038086,-2.2314844131469727
34,-2.2315332889556885,-2.230541229248047
35,-2.2322146892547607,-2.2330024242401123
36,-2.232693910598755,-2.2331953048706055
37,-2.2333056926727295,-2.233937978744507
38,-2.2341654300689697,-2.23429536819458
39,-2.234769105911255,-2.233767509460449
40,-2.2352380752563477,-2.2362446784973145
41,-2.2357001304626465,-2.2361814975738525
42,-2.236377477645874,-2.236495018005371
43,-2.236957550048828,-2.236767053604126
44,-2.2374050617218018,-2.238647699356079
45,-2.2378695011138916,-2.237104654312134
46,-2.238285541534424,-2.2388603687286377
47,-2.238978862762451,-2.2378220558166504
48,-2.239373207092285,-2.2410991191864014
49,-2.239917278289795,-2.2388412952423096
50,-2.240201473236084,-2.241586923599243
51,-2.2406539916992188,-2.239818572998047
52,-2.2412240505218506,-2.243053913116455
53,-2.2418010234832764,-2.2389678955078125
54,-2.241957902908325,-2.243049144744873
55,-2.2424960136413574,-2.2432467937469482
56,-2.2430357933044434,-2.2373600006103516
57,-2.243309736251831,-2.243972063064575
58,-2.243699312210083,-2.2431609630584717
59,-2.244096040725708,-2.2437727451324463
60,-2.2446396350860596,-2.2456209659576416
61,-2.244917392730713,-2.2443487644195557
62,-2.2452800273895264,-2.2460312843322754
63,-2.2456233501434326,-2.2472267150878906
64,-2.246021270751953,-2.247502565383911
65,-2.2463319301605225,-2.246108055114746
66,-2.2467668056488037,-2.2474148273468018
67,-2.2471249103546143,-2.2452616691589355
68,-2.2475292682647705,-2.247755765914917
69,-2.247833013534546,-2.2481541633605957
70,-2.2482454776763916,-2.2487776279449463
71,-2.2484047412872314,-2.2447509765625
72,-2.2487127780914307,-2.250206470489502
73,-2.2491321563720703,-2.2456891536712646
74,-2.249375581741333,-2.2489092350006104
75,-2.2497217655181885,-2.250983953475952
76,-2.250037431716919,-2.2510061264038086
77,-2.250232696533203,-2.2494490146636963
78,-2.250466823577881,-2.2521514892578125
79,-2.2508842945098877,-2.251603841781616
80,-2.2512049674987793,-2.251181125640869
81,-2.2514586448669434,-2.2519891262054443
82,-2.251807451248169,-2.251962661743164
83,-2.2519307136535645,-2.252748727798462
84,-2.252232789993286,-2.251720428466797
85,-2.252660036087036,-2.25056529045105
86,-2.252842664718628,-2.2543206214904785
87,-2.2531449794769287,-2.2515153884887695
88,-2.2534070014953613,-2.2539119720458984
89,-2.2535879611968994,-2.2531561851501465
90,-2.253739595413208,-2.2551615238189697
91,-2.254091262817383,-2.2540602684020996
92,-2.2543981075286865,-2.2546143531799316
93,-2.254737138748169,-2.2550861835479736
94,-2.254796028137207,-2.2565488815307617
95,-2.255131959915161,-2.254756212234497
96,-2.2554805278778076,-2.2540442943573
97,-2.2555882930755615,-2.2541518211364746
98,-2.2559304237365723,-2.2530651092529297
99,-2.2560482025146484,-2.256351947784424
100,-2.2563884258270264,-2.2541420459747314
101,-2.256631851196289,-2.2551074028015137
102,-2.2568089962005615,-2.256829023361206
103,-2.257138967514038,-2.2577202320098877
104,-2.2572784423828125,-2.2570412158966064
105,-2.257582426071167,-2.2580952644348145
106,-2.2577435970306396,-2.2558646202087402
107,-2.2580902576446533,-2.258188247680664
108,-2.2581708431243896,-2.2597453594207764
109,-2.2583048343658447,-2.253453016281128
110,-2.2587296962738037,-2.2586770057678223
111,-2.258843421936035,-2.259119749069214
112,-2.2589523792266846,-2.2595345973968506
113,-2.259201765060425,-2.2604165077209473
114,-2.2594285011291504,-2.2594363689422607
115,-2.25960111618042,-2.2606468200683594
116,-2.2597672939300537,-2.2585737705230713
117,-2.259927749633789,-2.260833978652954
118,-2.2602310180664062,-2.2608556747436523
