# seed  amc
1       0.0816912623
2       0.0818383215
3       0.0815064424
5       0.0817039878
6       0.0819009386
7       0.0817057078
8       0.0817648290
9       0.0818384179
10      0.0814183619
11      0.0813838353
12      0.0818781915
13      0.0818295515
14      0.0817323597
15      0.0817036706
16      0.0818765067
17      0.0819938776
18      0.0819186729       
