# seed  amc
1       0.0259814
2       0.0263974
3       0.0258815
4       0.0259941
5       0.0258276
6       0.0261735
7       0.0261370
8       0.0263055
9       0.0262856
10      0.0257121
11      0.0258526
12      0.0263720
13      0.0262224
14      0.0263108
15      0.0260726
16      0.0259306
17      0.0261230
18      0.0264251
19      0.0262123
20      0.0263619
