# seed  amc
1       0.0819304864
2       0.0812837149
3       0.0821512586
4       0.0822096550
5       0.0815425701
6       0.0813133428
7       0.0822527005
8       0.0825041046
9       0.0812492711
10      0.0822588035
11      0.0820620615
12      0.0827567702
13      0.0823690957
14      0.0824466795
15      0.0818859675
16      0.0821814478
17      0.0823700421
18      0.0819006001
19      0.0823080236
20      0.0825248137
