# seed  amc
1       0.0815743334
2       0.0817980461
3       0.0818352776
5       0.0816432869
6       0.0818251029
7       0.0817715525
8       0.0818885735
9       0.0816823459
10      0.0817179687
11      0.0816374029
12      0.0816874139
13      0.0817429027
14      0.0816713594
15      0.0820065913
16      0.0817220099
17      0.0813334322
18      0.0817899929
