# seed  amc
1       0.082312346
2       0.082487136
3       0.082425523
4       0.082543316
5       0.082250729
6       0.082260567
7       0.082356518
8       0.082455213
9       0.082663071
10      0.082287757
11      0.082563310
12      0.082426276
13      0.082487498
14      0.082560633
15      0.082442521
16      0.082377385
17      0.082244753
18      0.082506391
