# seed	amc
1       0.025751430
2       0.025775028
3       0.025927765
4       0.025932321
5       0.025530793
6       0.025458497
7       0.025881936
8       0.025804058
9       0.025886509
10      0.025808648
11      0.025756348
12      0.025763554
13      0.025644996
14      0.025806552
15      0.025955347
