epoch,loss,val_loss
1,-1.4958211183547974,-1.6126954555511475
2,-1.6192352771759033,-1.6240233182907104
3,-1.6314152479171753,-1.636682391166687
4,-1.6418627500534058,-1.646912693977356
5,-1.6515555381774902,-1.655012845993042
6,-1.6605000495910645,-1.665225625038147
7,-1.669266939163208,-1.673667550086975
8,-1.677554726600647,-1.6819623708724976
9,-1.6846809387207031,-1.6877331733703613
10,-1.6902157068252563,-1.6921606063842773
11,-1.6940416097640991,-1.695513367652893
12,-1.6972734928131104,-1.698259711265564
13,-1.6997544765472412,-1.7002067565917969
14,-1.7019894123077393,-1.7023348808288574
15,-1.7037328481674194,-1.704176902770996
16,-1.7053440809249878,-1.705749273300171
17,-1.7069084644317627,-1.7060760259628296
18,-1.708227276802063,-1.7090518474578857
19,-1.709463357925415,-1.7103489637374878
20,-1.7106939554214478,-1.7112815380096436
21,-1.711824893951416,-1.7108930349349976
22,-1.7127447128295898,-1.711719274520874
23,-1.7138170003890991,-1.7134817838668823
24,-1.7148088216781616,-1.7136567831039429
25,-1.7155042886734009,-1.7150211334228516
26,-1.7165759801864624,-1.7169251441955566
27,-1.7173439264297485,-1.7184609174728394
28,-1.718274712562561,-1.7180898189544678
29,-1.7191218137741089,-1.7190407514572144
30,-1.719805121421814,-1.7198735475540161
31,-1.7206361293792725,-1.7190560102462769
32,-1.7213279008865356,-1.720548152923584
33,-1.7221064567565918,-1.7218879461288452
34,-1.722767949104309,-1.721269965171814
35,-1.7234821319580078,-1.723741888999939
36,-1.7240561246871948,-1.7228816747665405
37,-1.7246723175048828,-1.7205079793930054
38,-1.7251927852630615,-1.724898099899292
39,-1.7259190082550049,-1.7251960039138794
40,-1.7265121936798096,-1.7266349792480469
41,-1.727006435394287,-1.7266607284545898
42,-1.7277098894119263,-1.7269985675811768
43,-1.728183388710022,-1.7286862134933472
44,-1.72882878780365,-1.7282030582427979
45,-1.7293063402175903,-1.724810004234314
46,-1.729785680770874,-1.7301006317138672
47,-1.7302321195602417,-1.7301636934280396
48,-1.730805516242981,-1.7302546501159668
49,-1.7311843633651733,-1.7312110662460327
50,-1.7317672967910767,-1.7314040660858154
51,-1.7321865558624268,-1.7322322130203247
52,-1.7325998544692993,-1.7326431274414062
53,-1.7330708503723145,-1.7335796356201172
54,-1.7335889339447021,-1.73325777053833
55,-1.734025001525879,-1.732405185699463
56,-1.7342748641967773,-1.7349913120269775
57,-1.7348625659942627,-1.7332042455673218
58,-1.7350987195968628,-1.73520028591156
59,-1.7356348037719727,-1.7361836433410645
60,-1.7360196113586426,-1.736588478088379
61,-1.7364305257797241,-1.7356562614440918
62,-1.7368324995040894,-1.7353142499923706
63,-1.7372305393218994,-1.73707115650177
64,-1.737587571144104,-1.7361985445022583
65,-1.7379145622253418,-1.7375315427780151
66,-1.7381535768508911,-1.7378368377685547
67,-1.7386234998703003,-1.7366451025009155
68,-1.7389167547225952,-1.738971471786499
69,-1.7392433881759644,-1.7391241788864136
70,-1.7395344972610474,-1.7394158840179443
71,-1.7399123907089233,-1.7395423650741577
72,-1.7402580976486206,-1.7399029731750488
73,-1.7404967546463013,-1.7403826713562012
74,-1.7409570217132568,-1.7404872179031372
75,-1.741088628768921,-1.7399778366088867
76,-1.741448163986206,-1.7403019666671753
77,-1.7417190074920654,-1.7415494918823242
78,-1.7419946193695068,-1.7414408922195435
79,-1.7422770261764526,-1.7423031330108643
80,-1.7425479888916016,-1.7416192293167114
81,-1.742794394493103,-1.7430449724197388
82,-1.7430546283721924,-1.742340326309204
83,-1.7433340549468994,-1.7429988384246826
84,-1.7435898780822754,-1.7423100471496582
85,-1.7439186573028564,-1.7418174743652344
86,-1.7440310716629028,-1.7427984476089478
87,-1.7442840337753296,-1.744449496269226
88,-1.7446380853652954,-1.744638442993164
89,-1.7447755336761475,-1.7440221309661865
90,-1.7450100183486938,-1.7450206279754639
91,-1.7452667951583862,-1.7442251443862915
92,-1.745484471321106,-1.745204210281372
93,-1.7456251382827759,-1.7450182437896729
94,-1.74600350856781,-1.7462314367294312
95,-1.7461658716201782,-1.7464549541473389
96,-1.7463862895965576,-1.7444655895233154
97,-1.7466440200805664,-1.7458789348602295
98,-1.7468819618225098,-1.7464441061019897
99,-1.7470834255218506,-1.7471884489059448
100,-1.747315764427185,-1.7471911907196045
101,-1.7475073337554932,-1.7457029819488525
102,-1.7477142810821533,-1.7477788925170898
103,-1.7479493618011475,-1.7480552196502686
104,-1.7481776475906372,-1.7481789588928223
105,-1.7483755350112915,-1.7477561235427856
106,-1.7485843896865845,-1.748246431350708
107,-1.7487926483154297,-1.7480082511901855
108,-1.7489535808563232,-1.746758222579956
109,-1.749172329902649,-1.7493032217025757
110,-1.7494306564331055,-1.7489107847213745
111,-1.7495203018188477,-1.749204397201538
112,-1.7498332262039185,-1.7499494552612305
113,-1.7497795820236206,-1.750149130821228
114,-1.7501060962677002,-1.7460405826568604
115,-1.750380516052246,-1.7502100467681885
116,-1.7505028247833252,-1.7503548860549927
117,-1.750732660293579,-1.7506334781646729
118,-1.750862956047058,-1.7493935823440552
119,-1.7509965896606445,-1.7497769594192505
120,-1.751245379447937,-1.7507963180541992
121,-1.751437783241272,-1.751358985900879
122,-1.7515878677368164,-1.7462573051452637
123,-1.7516626119613647,-1.7515138387680054
124,-1.7518657445907593,-1.7520555257797241
125,-1.75202214717865,-1.7514537572860718
126,-1.7522876262664795,-1.7512085437774658
127,-1.7524049282073975,-1.7505252361297607
128,-1.7525297403335571,-1.75242018699646
129,-1.7526795864105225,-1.7520638704299927
130,-1.7529430389404297,-1.7525428533554077
131,-1.7530068159103394,-1.7532470226287842
132,-1.7531342506408691,-1.752929925918579
133,-1.753374695777893,-1.7526594400405884
134,-1.753417730331421,-1.753061056137085
135,-1.7536344528198242,-1.7538394927978516
136,-1.753830075263977,-1.7521201372146606
137,-1.7538262605667114,-1.7539492845535278
138,-1.7540005445480347,-1.7532374858856201
139,-1.7541260719299316,-1.753495454788208
140,-1.7543370723724365,-1.7537004947662354
141,-1.7543870210647583,-1.753758430480957
142,-1.7545359134674072,-1.7544183731079102
143,-1.7546550035476685,-1.7547069787979126
144,-1.7548216581344604,-1.7551850080490112
145,-1.754930853843689,-1.7545218467712402
146,-1.7550978660583496,-1.755323052406311
147,-1.7552239894866943,-1.7551593780517578
148,-1.7552928924560547,-1.7554137706756592
149,-1.7554566860198975,-1.7548943758010864
150,-1.7555826902389526,-1.7549046277999878
151,-1.7556885480880737,-1.7555434703826904
