epoch,loss,val_loss
1,-1.5721964836120605,-1.6210883855819702
2,-1.6333647966384888,-1.6444408893585205
3,-1.652071475982666,-1.6613664627075195
4,-1.6689194440841675,-1.677190899848938
5,-1.6827151775360107,-1.6896913051605225
6,-1.6923402547836304,-1.6958816051483154
7,-1.6985375881195068,-1.7001001834869385
8,-1.703199863433838,-1.705824851989746
9,-1.7069286108016968,-1.7038732767105103
10,-1.710046410560608,-1.7095115184783936
11,-1.7127975225448608,-1.7145812511444092
12,-1.7150585651397705,-1.7152823209762573
13,-1.7172091007232666,-1.719323754310608
14,-1.7191108465194702,-1.7202893495559692
15,-1.7209075689315796,-1.7222814559936523
16,-1.7225446701049805,-1.7234580516815186
17,-1.7241710424423218,-1.7243553400039673
18,-1.7255489826202393,-1.7260289192199707
19,-1.7270760536193848,-1.7285443544387817
20,-1.728229284286499,-1.7260547876358032
21,-1.7295479774475098,-1.729784607887268
22,-1.7309176921844482,-1.7316220998764038
23,-1.732015609741211,-1.7319188117980957
24,-1.7330206632614136,-1.7326630353927612
25,-1.7340954542160034,-1.7358094453811646
26,-1.7351258993148804,-1.7363100051879883
27,-1.7361279726028442,-1.735388994216919
28,-1.737057089805603,-1.7379530668258667
29,-1.7378511428833008,-1.7391678094863892
30,-1.7387906312942505,-1.7396677732467651
31,-1.739556908607483,-1.7404712438583374
32,-1.7404576539993286,-1.7412210702896118
33,-1.7411531209945679,-1.742165446281433
34,-1.7418853044509888,-1.742646336555481
35,-1.7426215410232544,-1.7411167621612549
36,-1.7432124614715576,-1.7442922592163086
37,-1.7439041137695312,-1.744724988937378
38,-1.7445604801177979,-1.7458155155181885
39,-1.7450724840164185,-1.746362328529358
40,-1.745735764503479,-1.7465418577194214
41,-1.7462971210479736,-1.7455432415008545
42,-1.7468183040618896,-1.7479166984558105
43,-1.7473572492599487,-1.746882438659668
44,-1.7479521036148071,-1.7484731674194336
45,-1.7483693361282349,-1.7492231130599976
46,-1.7490007877349854,-1.7481765747070312
47,-1.7494596242904663,-1.7503544092178345
48,-1.7499206066131592,-1.748857855796814
49,-1.7504394054412842,-1.7503399848937988
50,-1.7507401704788208,-1.7504626512527466
51,-1.7511893510818481,-1.7496827840805054
52,-1.751633644104004,-1.7503283023834229
53,-1.75204336643219,-1.753149151802063
54,-1.7524739503860474,-1.7523417472839355
55,-1.7526847124099731,-1.7531626224517822
56,-1.7531466484069824,-1.7506026029586792
57,-1.7536125183105469,-1.7535980939865112
58,-1.7538859844207764,-1.751075029373169
59,-1.7540472745895386,-1.7543814182281494
60,-1.7544211149215698,-1.7534416913986206
61,-1.7546952962875366,-1.7548468112945557
62,-1.7550092935562134,-1.7556127309799194
63,-1.7554072141647339,-1.7544922828674316
64,-1.7556389570236206,-1.754042387008667
65,-1.7559196949005127,-1.7541968822479248
66,-1.7562189102172852,-1.756636142730713
67,-1.7565338611602783,-1.7571427822113037
68,-1.7567808628082275,-1.7572559118270874
69,-1.7570596933364868,-1.7555534839630127
70,-1.7572435140609741,-1.7573237419128418
71,-1.7574986219406128,-1.7579433917999268
72,-1.7577465772628784,-1.755639910697937
73,-1.757853627204895,-1.7583036422729492
74,-1.758079171180725,-1.7586374282836914
